date,cond_vol
1986-01-10,0.09237746242807976
1986-01-17,0.0822351778734936
1986-01-24,0.07775645151388341
1986-01-31,0.11047377905123945
1986-02-07,0.09916302167546698
1986-02-14,0.11504081755375895
1986-02-21,0.10298161012618252
1986-02-28,0.10683924163719248
1986-03-07,0.09501968416671251
1986-03-14,0.10828651553625467
1986-03-21,0.0999875477835044
1986-03-28,0.08966993232969642
1986-04-04,0.09516326528351847
1986-04-11,0.08748870482813599
1986-04-18,0.10601787632136919
1986-04-25,0.1048955843381666
1986-05-02,0.10301624767404619
1986-05-09,0.09203504250190604
1986-05-16,0.09120275219889332
1986-05-23,0.08320498976066402
1986-05-30,0.07601794366188003
1986-06-06,0.08474989142715171
1986-06-13,0.08811482469334878
1986-06-20,0.07848088236772333
1986-06-27,0.07265129161763023
1986-07-04,0.0655900087343002
1986-07-11,0.07523914179165303
1986-07-18,0.07974640134944194
1986-07-25,0.08118350769560034
1986-08-01,0.07979489441631354
1986-08-08,0.07132270246008517
1986-08-15,0.12610551650011653
1986-08-22,0.11392723052886605
1986-08-29,0.10116424382121127
1986-09-05,0.09079085128603888
1986-09-12,0.08115434549526947
1986-09-19,0.07750177157731776
1986-09-26,0.07470523156363083
1986-10-03,0.06673438469848146
1986-10-10,0.06340243920852527
1986-10-17,0.05696604071415266
1986-10-24,0.05339972749716696
1986-10-31,0.0489958768688737
1986-11-07,0.04697258857083301
1986-11-14,0.0445432961987697
1986-11-21,0.04260553944637115
1986-11-28,0.03898042389615221
1986-12-05,0.037874970501435096
1986-12-12,0.03522204368009781
1986-12-19,0.03281725550109467
1986-12-26,0.03917202742231029
1987-01-02,0.04178719871163509
1987-01-09,0.043108694959651105
1987-01-16,0.04114118421425606
1987-01-23,0.04053050681400922
1987-01-30,0.038303697113307854
1987-02-06,0.03532617827712009
1987-02-13,0.033105985546898156
1987-02-20,0.031995831606445355
1987-02-27,0.032878099554441854
1987-03-06,0.03877846047112333
1987-03-13,0.039948005099750133
1987-03-20,0.04184443918320212
1987-03-27,0.03933092418438926
1987-04-03,0.03633873423515953
1987-04-10,0.0337745899288973
1987-04-17,0.03181282027257666
1987-04-24,0.03087410854427819
1987-05-01,0.032466359163615094
1987-05-08,0.030764757323003954
1987-05-15,0.03005470669260853
1987-05-22,0.02944071330745596
1987-05-29,0.02862293843662442
1987-06-05,0.029875315267370025
1987-06-12,0.029335481786418593
1987-06-19,0.02786345286482918
1987-06-26,0.028462528707495594
1987-07-03,0.0274068692007829
1987-07-10,0.026577240362234144
1987-07-17,0.028217637015562805
1987-07-24,0.033062180306526995
1987-07-31,0.032985152891726564
1987-08-07,0.031362937451710274
1987-08-14,0.029817945357972622
1987-08-21,0.03238693674603621
1987-08-28,0.04067117194605587
1987-09-04,0.03762165405099279
1987-09-11,0.03476003237239346
1987-09-18,0.03264014645906044
1987-09-25,0.030882148586480467
1987-10-02,0.02910544618929746
1987-10-09,0.02756563513784808
1987-10-16,0.026296769148469578
1987-10-23,0.02543869229788795
1987-10-30,0.024718510186932646
1987-11-06,0.023982597886808607
1987-11-13,0.031060346355166513
1987-11-20,0.030152325566187212
1987-11-27,0.02938992606920021
1987-12-04,0.02818125731316283
1987-12-11,0.027420590473423993
1987-12-18,0.027249070482188886
1987-12-25,0.058308998737144846
1988-01-01,0.05260498640119068
1988-01-08,0.049554017503957236
1988-01-15,0.04934780447552868
1988-01-22,0.049766631976073165
1988-01-29,0.04615094153079688
1988-02-05,0.042734560172207794
1988-02-12,0.03917278644043603
1988-02-19,0.0361481478646859
1988-02-26,0.036660179771768844
1988-03-04,0.03555375338077913
1988-03-11,0.03858975762499793
1988-03-18,0.03555559046525128
1988-03-25,0.03407455692389668
1988-04-01,0.03420699763092378
1988-04-08,0.034064440396757364
1988-04-15,0.03216211051661058
1988-04-22,0.043464486880151816
1988-04-29,0.03965286256371173
1988-05-06,0.036426368188810475
1988-05-13,0.041163349626988324
1988-05-20,0.03785178006347205
1988-05-27,0.03487300387826091
1988-06-03,0.03310163964170066
1988-06-10,0.03142517822333227
1988-06-17,0.03150312797527575
1988-06-24,0.03355961755954863
1988-07-01,0.03613613126726461
1988-07-08,0.03642198604553268
1988-07-15,0.03369172459351802
1988-07-22,0.04004456052555823
1988-07-29,0.05072755231414892
1988-08-05,0.04642062136756941
1988-08-12,0.046833722788796085
1988-08-19,0.042892050648662715
1988-08-26,0.039305718779389036
1988-09-02,0.03615770616029034
1988-09-09,0.03579465005272822
1988-09-16,0.04029200001637581
1988-09-23,0.03825400834564945
1988-09-30,0.03540781244859087
1988-10-07,0.04485956584631217
1988-10-14,0.05525935954578252
1988-10-21,0.06392115628412937
1988-10-28,0.06080204640225495
1988-11-04,0.0693252990390025
1988-11-11,0.06273190047385829
1988-11-18,0.056507282980759375
1988-11-25,0.05131270544351921
1988-12-02,0.05083211895523543
1988-12-09,0.05294192255111338
1988-12-16,0.04835046380130244
1988-12-23,0.047703956765627345
1988-12-30,0.04717900699134728
1989-01-06,0.04288552171205632
1989-01-13,0.040080243945164885
1989-01-20,0.04055618714921187
1989-01-27,0.04373824059116217
1989-02-03,0.049850892868191804
1989-02-10,0.04669264530779011
1989-02-17,0.04243580190967845
1989-02-24,0.04217083298429387
1989-03-03,0.03946810625961592
1989-03-10,0.03631324447695141
1989-03-17,0.03361009435383921
1989-03-24,0.04167887311284612
1989-03-31,0.03855107529002994
1989-04-07,0.03636543854846653
1989-04-14,0.03438058508480822
1989-04-21,0.033211953962037216
1989-04-28,0.053854846642925565
1989-05-05,0.06229753372143246
