"날짜","종가","시가","고가","저가","거래량","변동 %"
"2011- 03- 06","1,562.00","1,382.00","1,562.00","1,382.00","","16.05%"
"2011- 02- 27","1,346.00","1,251.00","1,346.00","1,251.00","","8.11%"
"2011- 02- 20","1,245.00","1,295.00","1,295.00","1,242.00","","-4.30%"
"2011- 02- 13","1,301.00","1,206.00","1,301.00","1,206.00","","10.44%"
"2011- 02- 06","1,178.00","1,045.00","1,178.00","1,045.00","","12.94%"
"2011- 01- 30","1,043.00","1,107.00","1,107.00","1,043.00","","-8.27%"
"2011- 01- 23","1,137.00","1,345.00","1,345.00","1,137.00","","-17.01%"
"2011- 01- 16","1,370.00","1,439.00","1,439.00","1,370.00","","-4.79%"
"2011- 01- 09","1,439.00","1,495.00","1,495.00","1,439.00","","-5.27%"
"2011- 01- 02","1,519.00","1,693.00","1,693.00","1,519.00","","-14.33%"
"2010- 12- 19","1,773.00","1,955.00","1,955.00","1,773.00","","-11.31%"
"2010- 12- 12","1,999.00","2,076.00","2,076.00","1,999.00","","-4.58%"
"2010- 12- 05","2,095.00","2,179.00","2,179.00","2,095.00","","-3.37%"
"2010- 11- 28","2,168.00","2,145.00","2,168.00","2,096.00","","-0.09%"
"2010- 11- 21","2,170.00","2,179.00","2,213.00","2,170.00","","0.70%"
"2010- 11- 14","2,155.00","2,261.00","2,261.00","2,155.00","","-6.83%"
"2010- 11- 07","2,313.00","2,482.00","2,482.00","2,313.00","","-7.29%"
"2010- 10- 31","2,495.00","2,648.00","2,648.00","2,495.00","","-6.83%"
"2010- 10- 24","2,678.00","2,748.00","2,784.00","2,678.00","","-1.80%"
"2010- 10- 17","2,727.00","2,756.00","2,756.00","2,720.00","","-1.27%"
"2010- 10- 10","2,762.00","2,695.00","2,769.00","2,695.00","","2.45%"
"2010- 10- 03","2,696.00","2,478.00","2,696.00","2,478.00","","9.95%"
"2010- 09- 26","2,452.00","2,451.00","2,504.00","2,446.00","","0.33%"
"2010- 09- 19","2,444.00","2,628.00","2,628.00","2,444.00","","-8.67%"
"2010- 09- 12","2,676.00","2,976.00","2,976.00","2,676.00","","-10.65%"
"2010- 09- 05","2,995.00","2,881.00","2,995.00","2,881.00","","4.14%"
"2010- 08- 29","2,876.00","2,713.00","2,876.00","2,713.00","","6.05%"
"2010- 08- 22","2,712.00","2,841.00","2,861.00","2,703.00","","-1.60%"
"2010- 08- 15","2,756.00","2,488.00","2,756.00","2,488.00","","11.67%"
"2010- 08- 08","2,468.00","2,114.00","2,468.00","2,114.00","","21.58%"
"2010- 08- 01","2,030.00","1,977.00","2,030.00","1,957.00","","3.20%"
"2010- 07- 25","1,967.00","1,841.00","1,967.00","1,841.00","","7.72%"
"2010- 07- 18","1,826.00","1,732.00","1,826.00","1,732.00","","6.16%"
"2010- 07- 11","1,720.00","1,840.00","1,840.00","1,700.00","","-9.57%"
"2010- 07- 04","1,902.00","2,216.00","2,216.00","1,902.00","","-16.58%"
"2010- 06- 27","2,280.00","2,482.00","2,482.00","2,280.00","","-8.84%"
"2010- 06- 20","2,501.00","2,601.00","2,601.00","2,501.00","","-7.16%"
"2010- 06- 13","2,694.00","3,115.00","3,115.00","2,694.00","","-18.07%"
"2010- 06- 06","3,288.00","3,733.00","3,733.00","3,288.00","","-14.46%"
"2010- 05- 30","3,844.00","4,074.00","4,074.00","3,844.00","","-5.74%"
"2010- 05- 23","4,078.00","3,943.00","4,209.00","3,943.00","","6.09%"
"2010- 05- 16","3,844.00","3,922.00","3,922.00","3,803.00","","-2.16%"
"2010- 05- 09","3,929.00","3,707.00","3,929.00","3,707.00","","8.90%"
"2010- 05- 02","3,608.00","3,352.00","3,608.00","3,352.00","","7.57%"
"2010- 04- 25","3,354.00","3,020.00","3,359.00","3,020.00","","11.32%"
"2010- 04- 18","3,013.00","3,002.00","3,013.00","2,998.00","","0.13%"
"2010- 04- 11","3,009.00","2,911.00","3,009.00","2,911.00","","3.30%"
"2010- 04- 04","2,913.00","2,981.00","2,981.00","2,913.00","","-2.61%"
"2010- 03- 28","2,991.00","3,098.00","3,098.00","2,982.00","","-3.45%"
"2010- 03- 21","3,098.00","3,337.00","3,337.00","3,098.00","","-8.32%"
"2010- 03- 14","3,379.00","3,574.00","3,574.00","3,379.00","","-3.62%"
"2010- 03- 07","3,506.00","3,259.00","3,506.00","3,210.00","","8.14%"
"2010- 02- 28","3,242.00","2,760.00","3,242.00","2,760.00","","18.41%"
"2010- 02- 21","2,738.00","2,721.00","2,738.00","2,707.00","","0.88%"
"2010- 02- 14","2,714.00","2,566.00","2,714.00","2,566.00","","5.56%"
"2010- 02- 07","2,571.00","2,722.00","2,722.00","2,571.00","","-5.30%"
"2010- 01- 31","2,715.00","2,745.00","2,745.00","2,673.00","","-4.67%"
"2010- 01- 24","2,848.00","3,223.00","3,223.00","2,848.00","","-11.11%"
"2010- 01- 17","3,204.00","3,295.00","3,295.00","3,158.00","","-2.88%"
"2010- 01- 10","3,299.00","3,148.00","3,299.00","3,148.00","","5.06%"
"2010- 01- 03","3,140.00","3,140.00","3,270.00","3,140.00","","4.49%"
"2009- 12- 20","3,005.00","3,154.00","3,154.00","3,005.00","","-7.77%"
"2009- 12- 13","3,258.00","3,530.00","3,530.00","3,258.00","","-8.97%"
"2009- 12- 06","3,579.00","4,036.00","4,036.00","3,579.00","","-12.86%"
"2009- 11- 29","4,107.00","3,887.00","4,107.00","3,836.00","","3.35%"
"2009- 11- 22","3,974.00","4,423.00","4,423.00","3,974.00","","-11.83%"
"2009- 11- 15","4,507.00","4,220.00","4,661.00","4,220.00","","9.63%"
"2009- 11- 08","4,111.00","3,480.00","4,111.00","3,480.00","","21.16%"
"2009- 11- 01","3,393.00","3,185.00","3,393.00","3,185.00","","9.35%"
"2009- 10- 25","3,103.00","3,044.00","3,103.00","2,986.00","","1.97%"
"2009- 10- 18","3,043.00","2,766.00","3,043.00","2,766.00","","11.55%"
"2009- 10- 11","2,728.00","2,696.00","2,728.00","2,597.00","","1.22%"
"2009- 10- 04","2,695.00","2,362.00","2,695.00","2,362.00","","14.34%"
"2009- 09- 27","2,357.00","2,192.00","2,357.00","2,185.00","","7.97%"
"2009- 09- 20","2,183.00","2,318.00","2,318.00","2,163.00","","-7.34%"
"2009- 09- 13","2,356.00","2,450.00","2,450.00","2,356.00","","-4.54%"
"2009- 09- 06","2,468.00","2,429.00","2,492.00","2,429.00","","2.19%"
"2009- 08- 30","2,415.00","2,423.00","2,423.00","2,413.00","","-0.25%"
"2009- 08- 23","2,421.00","2,437.00","2,437.00","2,388.00","","-1.90%"
"2009- 08- 16","2,468.00","2,774.00","2,774.00","2,468.00","","-10.32%"
"2009- 08- 09","2,752.00","2,689.00","2,752.00","2,612.00","","-0.72%"
"2009- 08- 02","2,772.00","3,251.00","3,251.00","2,772.00","","-17.25%"
"2009- 07- 26","3,350.00","3,407.00","3,499.00","3,350.00","","0.15%"
"2009- 07- 19","3,345.00","3,511.00","3,511.00","3,345.00","","-5.56%"
"2009- 07- 12","3,542.00","2,975.00","3,542.00","2,975.00","","18.66%"
"2009- 07- 05","2,985.00","3,375.00","3,375.00","2,985.00","","-15.20%"
"2009- 06- 28","3,520.00","3,734.00","3,757.00","3,520.00","","-4.94%"
"2009- 06- 21","3,703.00","4,029.00","4,029.00","3,703.00","","-9.02%"
"2009- 06- 14","4,070.00","3,763.00","4,073.00","3,763.00","","13.59%"
"2009- 06- 07","3,583.00","3,646.00","3,646.00","3,452.00","","-5.93%"
"2009- 05- 31","3,809.00","3,681.00","4,291.00","3,681.00","","9.02%"
"2009- 05- 24","3,494.00","2,942.00","3,494.00","2,942.00","","25.41%"
"2009- 05- 17","2,786.00","2,605.00","2,786.00","2,605.00","","9.51%"
"2009- 05- 10","2,544.00","2,215.00","2,544.00","2,215.00","","14.91%"
"2009- 05- 03","2,214.00","1,897.00","2,214.00","1,897.00","","22.59%"
"2009- 04- 26","1,806.00","1,839.00","1,839.00","1,772.00","","-3.58%"
"2009- 04- 19","1,873.00","1,737.00","1,897.00","1,737.00","","11.36%"
"2009- 04- 12","1,682.00","1,492.00","1,682.00","1,492.00","","13.80%"
"2009- 04- 05","1,478.00","1,486.00","1,486.00","1,463.00","","-1.86%"
"2009- 03- 29","1,506.00","1,646.00","1,646.00","1,506.00","","-10.25%"
"2009- 03- 22","1,678.00","1,773.00","1,773.00","1,678.00","","-5.84%"
"2009- 03- 15","1,782.00","2,058.00","2,058.00","1,782.00","","-16.02%"
"2009- 03- 08","2,122.00","2,262.00","2,298.00","2,122.00","","-4.63%"
"2009- 03- 01","2,225.00","2,014.00","2,225.00","2,014.00","","12.03%"
"2009- 02- 22","1,986.00","2,084.00","2,084.00","1,950.00","","-5.38%"
"2009- 02- 15","2,099.00","1,846.00","2,099.00","1,846.00","","10.01%"
"2009- 02- 08","1,908.00","1,815.00","2,055.00","1,815.00","","16.20%"
"2009- 02- 01","1,642.00","1,099.00","1,642.00","1,099.00","","53.46%"
"2009- 01- 25","1,070.00","995.00","1,070.00","995.00","","9.18%"
"2009- 01- 18","980.00","868.00","980.00","868.00","","11.24%"
"2009- 01- 11","881.00","889.00","920.00","881.00","","1.03%"
"2009- 01- 04","872.00","772.00","872.00","772.00","","12.81%"
"2008- 12- 28","773.00","773.00","773.00","773.00","","-0.13%"
"2008- 12- 21","774.00","801.00","801.00","774.00","","-5.38%"
"2008- 12- 14","818.00","803.00","836.00","803.00","","7.07%"
"2008- 12- 07","764.00","671.00","764.00","671.00","","15.23%"
"2008- 11- 30","663.00","700.00","700.00","663.00","","-7.27%"
"2008- 11- 23","715.00","824.00","824.00","715.00","","-14.47%"
"2008- 11- 16","836.00","856.00","865.00","836.00","","-0.59%"
"2008- 11- 09","841.00","820.00","841.00","818.00","","1.45%"
"2008- 11- 02","829.00","827.00","839.00","815.00","","-2.59%"
"2008- 10- 26","851.00","1,048.00","1,048.00","851.00","","-22.78%"
"2008- 10- 19","1,102.00","1,355.00","1,355.00","1,102.00","","-23.37%"
"2008- 10- 12","1,438.00","1,976.00","1,976.00","1,438.00","","-35.25%"
"2008- 10- 05","2,221.00","2,992.00","2,992.00","2,221.00","","-26.02%"
"2008- 09- 28","3,002.00","3,504.00","3,504.00","2,990.00","","-19.86%"
"2008- 09- 21","3,746.00","4,949.00","4,949.00","3,746.00","","-24.70%"
"2008- 09- 14","4,975.00","4,747.00","4,975.00","4,747.00","","3.65%"
"2008- 09- 07","4,800.00","5,492.00","5,492.00","4,800.00","","-15.24%"
"2008- 08- 31","5,663.00","6,691.00","6,691.00","5,663.00","","-16.83%"
"2008- 08- 24","6,809.00","7,115.00","7,115.00","6,809.00","","-4.73%"
"2008- 08- 17","7,147.00","7,622.00","7,622.00","7,147.00","","-5.43%"
"2008- 08- 10","7,557.00","7,055.00","7,557.00","6,992.00","","4.94%"
"2008- 08- 03","7,201.00","8,209.00","8,209.00","7,201.00","","-13.03%"
"2008- 07- 27","8,280.00","8,513.00","8,513.00","8,280.00","","-4.13%"
"2008- 07- 20","8,637.00","8,961.00","8,961.00","8,637.00","","-4.16%"
"2008- 07- 13","9,012.00","9,181.00","9,181.00","9,012.00","","-2.36%"
"2008- 07- 06","9,230.00","8,964.00","9,313.00","8,964.00","","4.25%"
"2008- 06- 29","8,854.00","9,589.00","9,589.00","8,854.00","","-7.76%"
"2008- 06- 22","9,599.00","9,211.00","9,599.00","9,139.00","","1.81%"
"2008- 06- 15","9,428.00","9,419.00","9,474.00","9,413.00","","-2.26%"
"2008- 06- 08","9,646.00","11,534.00","11,534.00","9,646.00","","-16.93%"
"2008- 06- 01","11,612.00","11,458.00","11,689.00","11,458.00","","1.50%"
"2008- 05- 25","11,440.00","11,269.00","11,440.00","11,245.00","","-0.22%"
"2008- 05- 18","11,465.00","11,709.00","11,793.00","11,465.00","","0.05%"
"2008- 05- 11","11,459.00","10,220.00","11,459.00","10,220.00","","11.94%"
"2008- 05- 04","10,237.00","9,855.00","10,237.00","9,855.00","","6.85%"
"2008- 04- 27","9,581.00","9,344.00","9,581.00","9,273.00","","2.70%"
