,Dow Jones,S&P500,GDP,CPI,Inflation,BDI,BDI_return,BDI_vol,30_yield,3m_yield,7_yield
2015-07-24,17568.529296875,2079.64990234375,18410.00375,249.9561935483871,1.7444957612903225,1131.0,0.04060097562223966,0.003523753513536648,296.0,4.0,202.0
2015-07-31,17689.859375,2103.840087890625,18412.553499999998,247.9137741935484,1.7272607451612902,1200.0,0.05921935965997132,0.013165185607807212,292.0,8.0,193.0
2015-08-07,17373.380859375,2077.570068359375,18415.10325,246.3501935483871,1.764196773548387,1055.0,-0.12878078986592484,0.13293618059384532,283.0,6.0,193.0
2015-08-14,17477.400390625,2091.5400390625,18417.653,244.8664193548387,1.8101613093548388,994.0,-0.05955883925359288,0.048947310684938294,284.0,9.0,196.0
2015-08-21,16459.75,1970.8900146484375,18420.20275,243.38264516129033,1.8561258451612903,903.0,-0.0960146532395886,0.025778153283169222,274.0,3.0,179.0
2015-08-28,16643.009765625,1988.8699951171875,18422.7525,241.8988709677419,1.902090380967742,875.0,-0.03149866705937105,0.045619691322967275,292.0,6.0,192.0
2015-09-04,16102.3798828125,1921.219970703125,18425.30225,241.0257,1.8667184570000002,818.0,-0.0673615497548674,0.025358887546879223,289.0,2.0,185.0
2015-09-11,16433.08984375,1961.050048828125,18427.852,240.96666666666667,1.72289792,960.0,0.16007094785913492,0.16081906132505366,295.0,4.0,189.0
2015-09-18,16384.580078125,1958.030029296875,18430.401749999997,240.90763333333334,1.579077383,943.0,-0.01786700182842442,0.12582113085450303,293.0,0.0,183.0
2015-09-25,16314.669921875,1931.3399658203125,18432.9515,240.8486,1.4352568460000001,889.0,-0.05896904711955287,0.029063534945989948,296.0,0.0,187.0
2015-10-02,16472.369140625,1951.3599853515625,18436.123913043477,240.81380645161292,1.3118106548387096,809.0,-0.09429831845541285,0.024981567335962053,282.0,0.0,167.0
2015-10-09,17084.490234375,2014.8900146484375,18443.032304347824,240.92445161290323,1.3106105387096774,754.0,-0.07040654905053559,0.016894032160728028,294.0,1.0,180.0
2015-10-16,17215.970703125,2033.1099853515625,18449.940695652174,241.03509677419356,1.309410422580645,774.0,0.026179505581771078,0.06829665419855686,287.0,1.0,173.0
