,Predictions,Ground Truths
2023-02-02,0.05732826516032219,0.0146656316315696
2023-02-03,0.01975947804749012,0.0071503587875566
2023-02-06,0.05734403803944588,0.0093987177220381
2023-02-07,0.057344503700733185,0.0155003745133305
2023-02-08,0.05732731521129608,0.0246958616701563
2023-02-09,0.0287040863186121,0.0234535448587188
2023-02-10,0.019366391003131866,0.023291664998174
2023-02-13,0.057287514209747314,0.0146155613974022
2023-02-14,0.057281244546175,0.0157690636079111
2023-02-15,0.0572829470038414,0.0146867643145919
2023-02-16,0.05729367956519127,0.0131385087620232
2023-02-17,0.030496645718812943,0.0126582076545152
2023-02-21,0.057285282760858536,0.0110738469537606
2023-02-22,0.05728413164615631,0.0106369498542806
2023-02-23,0.05729740858078003,0.0144876812153633
2023-02-24,0.014338526874780655,0.0203583820136958
2023-02-27,0.057295672595500946,0.0221218283033384
2023-02-28,0.05729274824261665,0.019267156034449
2023-03-01,0.05729467049241066,0.0210529371949743
2023-03-02,0.05728904902935028,0.011362324100781
2023-03-03,0.009036865085363388,0.0096459006616747
2023-03-06,0.05727657675743103,0.0098228751115435
2023-03-07,0.057281166315078735,0.005856391754097
2023-03-08,0.057293735444545746,0.0185883517042274
2023-03-09,0.057312630116939545,0.0183506930939394
2023-03-10,0.0573100708425045,0.0178815429443337
2023-03-13,0.05730971693992615,0.0184070062397686
2023-03-14,0.011293694376945496,0.0184669198736471
2023-03-15,0.05729428678750992,0.0208931153203162
2023-03-16,0.057292066514492035,0.0254116674969616
2023-03-17,0.05728887766599655,0.0303345527700723
2023-03-20,0.007274646311998367,0.024468050957285
2023-03-21,0.012177158147096634,0.0294268858237244
2023-03-22,0.057283736765384674,0.0300060834587363
2023-03-23,0.05729161947965622,0.0179363884642939
2023-03-24,0.057303715497255325,0.0191890747885043
2023-03-27,0.05730731040239334,0.0156128123762883
2023-03-28,0.05730145797133446,0.0224781796048343
2023-03-29,0.05730513483285904,0.0219181645559734
2023-03-30,0.05728523060679436,0.0218462498011132
2023-03-31,0.05728169530630112,0.0204421087200325
2023-04-03,0.013899844139814377,0.0171309120280822
2023-04-04,0.0008023865520954132,0.0264435419838136
2023-04-05,0.057300083339214325,0.0272242019289283
2023-04-06,0.05729958415031433,0.0263338350328726
2023-04-10,0.057298630475997925,0.02718939097425
2023-04-11,0.05729969963431358,0.0294774657620383
2023-04-12,0.057299815118312836,0.0099628878563945
2023-04-13,0.015095246955752373,0.0127615787985092
2023-04-14,0.0008819885551929474,0.0156247079312829
2023-04-17,0.057324204593896866,0.0156143202597455
2023-04-18,0.05731215327978134,0.017388424833275
2023-04-19,0.057322315871715546,0.0151301170011375
2023-04-20,0.05732351541519165,0.0104590059851036
2023-04-21,0.05729874223470688,0.0123845583382965
2023-04-24,0.057301297783851624,0.0137295194963799
2023-04-25,0.05729397013783455,0.016514811799186
2023-04-26,0.05730807036161423,0.0181389158631817
2023-04-27,-0.017840180546045303,0.0223367664261641
2023-04-28,0.013708967715501785,0.0231556106456436
2023-05-01,0.057303883135318756,0.024561600412245
2023-05-02,0.05729706585407257,0.0225494744729544
2023-05-03,-0.002162706106901169,0.0295968444844798
2023-05-04,0.05731780827045441,0.0299461806828969
2023-05-05,0.05731600522994995,0.0288378455161625
2023-05-08,0.010962914675474167,0.0358988756557643
2023-05-09,0.057322438806295395,0.0389798645885173
2023-05-10,0.05728233978152275,0.0294251930468853
2023-05-11,0.05728810653090477,0.0197086136927623
2023-05-12,0.057293981313705444,0.0238804544295556
2023-05-15,0.05729396268725395,0.0169092518918123
2023-05-16,0.057297609746456146,0.013938954393753
2023-05-17,0.05729297921061516,0.0127774825493685
2023-05-18,0.05728337913751602,0.0187952932607225
2023-05-19,0.01425139419734478,0.0176525443600322
2023-05-22,0.057290107011795044,0.016571407505155
2023-05-23,0.010087527334690094,0.0156290491112852
2023-05-24,0.05729914456605911,0.0155998554833698
2023-05-25,0.017354536801576614,0.0131589256689399
2023-05-26,0.057309456169605255,0.0179079896331294
2023-05-30,0.009377207607030869,0.0179668483003194
2023-05-31,0.05730821192264557,0.0281343948680256
2023-06-01,0.057322680950164795,0.0263459815886882
2023-06-02,0.015118539333343506,0.0270779003574681
2023-06-05,0.05732111632823944,0.0290317526191773
2023-06-06,0.05733557790517807,0.0289243602455675
2023-06-07,0.057341914623975754,0.0162367779321268
2023-06-08,0.05732231214642525,0.0121986233191982
2023-06-09,0.057302385568618774,0.0144462170758332
2023-06-12,0.05731094628572464,0.011263922040311
2023-06-13,0.007567394524812698,0.0178327506549401
2023-06-14,0.05729052796959877,0.0277748269607072
2023-06-15,0.05728812888264656,0.0267954184806315
2023-06-16,0.057300493121147156,0.0327945157527155
2023-06-20,0.008070673793554306,0.0320183427682782
2023-06-21,0.057295940816402435,0.0227983836053227
2023-06-22,0.0221442561596632,0.0195809461383432
2023-06-23,0.013228680938482285,0.0279065936099462
2023-06-26,0.005948137491941452,0.0220406195311322
2023-06-27,0.057298704981803894,0.0207446595030498
2023-06-28,0.05729880556464195,0.0226223791771809
2023-06-29,0.05731966719031334,0.0251349641590448
2023-06-30,0.05731601640582085,0.018197259033911
2023-07-03,0.020572656765580177,0.0182147677712756
2023-07-05,0.05732151120901108,0.0183731802507023
2023-07-06,-0.0016090981662273407,0.0129798699188769
2023-07-07,0.05729525536298752,0.0119162548056665
2023-07-10,0.05728692561388016,0.0143003006453649
2023-07-11,0.057291559875011444,0.0171654538673399
2023-07-12,0.01330755278468132,0.0169401796408379
2023-07-13,0.025070952251553535,0.014994327550401
