"날짜","종가","시가","고가","저가","거래량","변동 %"
"2005- 08- 03","1,747.00","1,747.00","1,747.00","1,747.00","","-0.11%"
"2005- 08- 02","1,749.00","1,749.00","1,749.00","1,749.00","","-1.13%"
"2005- 08- 01","1,769.00","1,769.00","1,769.00","1,769.00","","-1.94%"
"2005- 07- 29","1,804.00","1,804.00","1,804.00","1,804.00","","-2.54%"
"2005- 07- 28","1,851.00","1,851.00","1,851.00","1,851.00","","-2.37%"
"2005- 07- 27","1,896.00","1,896.00","1,896.00","1,896.00","","-2.82%"
"2005- 07- 26","1,951.00","1,951.00","1,951.00","1,951.00","","-2.64%"
"2005- 07- 25","2,004.00","2,004.00","2,004.00","2,004.00","","-2.43%"
"2005- 07- 22","2,054.00","2,054.00","2,054.00","2,054.00","","-3.70%"
"2005- 07- 21","2,133.00","2,133.00","2,133.00","2,133.00","","-3.09%"
"2005- 07- 20","2,201.00","2,201.00","2,201.00","2,201.00","","-2.05%"
"2005- 07- 19","2,247.00","2,247.00","2,247.00","2,247.00","","-1.66%"
"2005- 07- 18","2,285.00","2,285.00","2,285.00","2,285.00","","-0.95%"
"2005- 07- 15","2,307.00","2,307.00","2,307.00","2,307.00","","-0.56%"
"2005- 07- 14","2,320.00","2,320.00","2,320.00","2,320.00","","-0.77%"
"2005- 07- 13","2,338.00","2,338.00","2,338.00","2,338.00","","-0.30%"
"2005- 07- 12","2,345.00","2,345.00","2,345.00","2,345.00","","-0.38%"
"2005- 07- 11","2,354.00","2,354.00","2,354.00","2,354.00","","-0.47%"
"2005- 07- 08","2,365.00","2,365.00","2,365.00","2,365.00","","-0.80%"
"2005- 07- 07","2,384.00","2,384.00","2,384.00","2,384.00","","-0.75%"
"2005- 07- 06","2,402.00","2,402.00","2,402.00","2,402.00","","-1.31%"
"2005- 07- 05","2,434.00","2,434.00","2,434.00","2,434.00","","-1.10%"
"2005- 07- 04","2,461.00","2,461.00","2,461.00","2,461.00","","-1.01%"
"2005- 07- 01","2,486.00","2,486.00","2,486.00","2,486.00","","-1.39%"
"2005- 06- 30","2,521.00","2,521.00","2,521.00","2,521.00","","-2.02%"
"2005- 06- 29","2,573.00","2,573.00","2,573.00","2,573.00","","-1.27%"
"2005- 06- 28","2,606.00","2,606.00","2,606.00","2,606.00","","-0.57%"
"2005- 06- 27","2,621.00","2,621.00","2,621.00","2,621.00","","0.15%"
"2005- 06- 24","2,617.00","2,617.00","2,617.00","2,617.00","","0.93%"
"2005- 06- 23","2,593.00","2,593.00","2,593.00","2,593.00","","1.77%"
"2005- 06- 22","2,548.00","2,548.00","2,548.00","2,548.00","","1.51%"
"2005- 06- 21","2,510.00","2,510.00","2,510.00","2,510.00","","-0.32%"
"2005- 06- 20","2,518.00","2,518.00","2,518.00","2,518.00","","-0.98%"
"2005- 06- 17","2,543.00","2,543.00","2,543.00","2,543.00","","-1.66%"
"2005- 06- 16","2,586.00","2,586.00","2,586.00","2,586.00","","-1.90%"
"2005- 06- 15","2,636.00","2,636.00","2,636.00","2,636.00","","-2.55%"
"2005- 06- 14","2,705.00","2,705.00","2,705.00","2,705.00","","-2.06%"
"2005- 06- 13","2,762.00","2,762.00","2,762.00","2,762.00","","-2.09%"
"2005- 06- 10","2,821.00","2,821.00","2,821.00","2,821.00","","-2.35%"
"2005- 06- 09","2,889.00","2,889.00","2,889.00","2,889.00","","-1.43%"
"2005- 06- 08","2,931.00","2,931.00","2,931.00","2,931.00","","-2.14%"
"2005- 06- 07","2,995.00","2,995.00","2,995.00","2,995.00","","-1.51%"
"2005- 06- 06","3,041.00","3,041.00","3,041.00","3,041.00","","-1.68%"
"2005- 06- 03","3,093.00","3,093.00","3,093.00","3,093.00","","-1.02%"
"2005- 06- 02","3,125.00","3,125.00","3,125.00","3,125.00","","-1.73%"
"2005- 06- 01","3,180.00","3,180.00","3,180.00","3,180.00","","-1.21%"
"2005- 05- 31","3,219.00","3,219.00","3,219.00","3,219.00","","-1.83%"
"2005- 05- 27","3,279.00","3,279.00","3,279.00","3,279.00","","-1.15%"
"2005- 05- 26","3,317.00","3,317.00","3,317.00","3,317.00","","-1.46%"
"2005- 05- 25","3,366.00","3,366.00","3,366.00","3,366.00","","-1.87%"
"2005- 05- 24","3,430.00","3,430.00","3,430.00","3,430.00","","-1.89%"
"2005- 05- 23","3,496.00","3,496.00","3,496.00","3,496.00","","-0.77%"
"2005- 05- 20","3,523.00","3,523.00","3,523.00","3,523.00","","-1.01%"
"2005- 05- 19","3,559.00","3,559.00","3,559.00","3,559.00","","-2.14%"
"2005- 05- 18","3,637.00","3,637.00","3,637.00","3,637.00","","-1.57%"
"2005- 05- 17","3,695.00","3,695.00","3,695.00","3,695.00","","-1.12%"
"2005- 05- 16","3,737.00","3,737.00","3,737.00","3,737.00","","-0.88%"
"2005- 05- 13","3,770.00","3,770.00","3,770.00","3,770.00","","-1.62%"
"2005- 05- 12","3,832.00","3,832.00","3,832.00","3,832.00","","-2.52%"
"2005- 05- 11","3,931.00","3,931.00","3,931.00","3,931.00","","-2.12%"
"2005- 05- 10","4,016.00","4,016.00","4,016.00","4,016.00","","-0.20%"
"2005- 05- 09","4,024.00","4,024.00","4,024.00","4,024.00","","1.39%"
"2005- 05- 06","3,969.00","3,969.00","3,969.00","3,969.00","","1.82%"
"2005- 05- 05","3,898.00","3,898.00","3,898.00","3,898.00","","1.64%"
"2005- 05- 04","3,835.00","3,835.00","3,835.00","3,835.00","","0.52%"
"2005- 05- 03","3,815.00","3,815.00","3,815.00","3,815.00","","-0.91%"
"2005- 04- 29","3,850.00","3,850.00","3,850.00","3,850.00","","-1.81%"
"2005- 04- 28","3,921.00","3,921.00","3,921.00","3,921.00","","-2.61%"
"2005- 04- 27","4,026.00","4,026.00","4,026.00","4,026.00","","-3.50%"
"2005- 04- 26","4,172.00","4,172.00","4,172.00","4,172.00","","-2.61%"
"2005- 04- 25","4,284.00","4,284.00","4,284.00","4,284.00","","-2.21%"
"2005- 04- 22","4,381.00","4,381.00","4,381.00","4,381.00","","-2.73%"
"2005- 04- 21","4,504.00","4,504.00","4,504.00","4,504.00","","-2.51%"
"2005- 04- 20","4,620.00","4,620.00","4,620.00","4,620.00","","-2.43%"
"2005- 04- 19","4,735.00","4,735.00","4,735.00","4,735.00","","-1.56%"
"2005- 04- 18","4,810.00","4,810.00","4,810.00","4,810.00","","-0.52%"
"2005- 04- 15","4,835.00","4,835.00","4,835.00","4,835.00","","0.23%"
"2005- 04- 14","4,824.00","4,824.00","4,824.00","4,824.00","","0.42%"
"2005- 04- 13","4,804.00","4,804.00","4,804.00","4,804.00","","1.07%"
"2005- 04- 12","4,753.00","4,753.00","4,753.00","4,753.00","","0.68%"
"2005- 04- 11","4,721.00","4,721.00","4,721.00","4,721.00","","0.47%"
"2005- 04- 08","4,699.00","4,699.00","4,699.00","4,699.00","","0.49%"
"2005- 04- 07","4,676.00","4,676.00","4,676.00","4,676.00","","0.34%"
"2005- 04- 06","4,660.00","4,660.00","4,660.00","4,660.00","","0.24%"
"2005- 04- 05","4,649.00","4,649.00","4,649.00","4,649.00","","0.39%"
"2005- 04- 04","4,631.00","4,631.00","4,631.00","4,631.00","","0.09%"
"2005- 04- 01","4,627.00","4,627.00","4,627.00","4,627.00","","-0.22%"
"2005- 03- 31","4,637.00","4,637.00","4,637.00","4,637.00","","-0.34%"
"2005- 03- 30","4,653.00","4,653.00","4,653.00","4,653.00","","-0.41%"
"2005- 03- 29","4,672.00","4,672.00","4,672.00","4,672.00","","-0.28%"
"2005- 03- 24","4,685.00","4,685.00","4,685.00","4,685.00","","0.00%"
"2005- 03- 23","4,685.00","4,685.00","4,685.00","4,685.00","","0.13%"
"2005- 03- 22","4,679.00","4,679.00","4,679.00","4,679.00","","0.30%"
"2005- 03- 21","4,665.00","4,665.00","4,665.00","4,665.00","","0.86%"
"2005- 03- 18","4,625.00","4,625.00","4,625.00","4,625.00","","1.09%"
"2005- 03- 17","4,575.00","4,575.00","4,575.00","4,575.00","","-0.46%"
"2005- 03- 16","4,596.00","4,596.00","4,596.00","4,596.00","","-1.90%"
"2005- 03- 15","4,685.00","4,685.00","4,685.00","4,685.00","","-1.18%"
"2005- 03- 14","4,741.00","4,741.00","4,741.00","4,741.00","","-0.57%"
"2005- 03- 11","4,768.00","4,768.00","4,768.00","4,768.00","","-0.48%"
"2005- 03- 10","4,791.00","4,791.00","4,791.00","4,791.00","","0.21%"
"2005- 03- 09","4,781.00","4,781.00","4,781.00","4,781.00","","0.76%"
"2005- 03- 08","4,745.00","4,745.00","4,745.00","4,745.00","","0.96%"
"2005- 03- 07","4,700.00","4,700.00","4,700.00","4,700.00","","1.03%"
"2005- 03- 04","4,652.00","4,652.00","4,652.00","4,652.00","","0.71%"
"2005- 03- 03","4,619.00","4,619.00","4,619.00","4,619.00","","0.00%"
"2005- 03- 02","4,619.00","4,619.00","4,619.00","4,619.00","","-0.94%"
"2005- 03- 01","4,663.00","4,663.00","4,663.00","4,663.00","","-1.33%"
"2005- 02- 28","4,726.00","4,726.00","4,726.00","4,726.00","","-0.94%"
"2005- 02- 25","4,771.00","4,771.00","4,771.00","4,771.00","","-1.30%"
"2005- 02- 24","4,834.00","4,834.00","4,834.00","4,834.00","","-0.94%"
"2005- 02- 23","4,880.00","4,880.00","4,880.00","4,880.00","","0.04%"
"2005- 02- 22","4,878.00","4,878.00","4,878.00","4,878.00","","0.93%"
"2005- 02- 21","4,833.00","4,833.00","4,833.00","4,833.00","","1.47%"
"2005- 02- 18","4,763.00","4,763.00","4,763.00","4,763.00","","1.66%"
"2005- 02- 17","4,685.00","4,685.00","4,685.00","4,685.00","","2.00%"
"2005- 02- 16","4,593.00","4,593.00","4,593.00","4,593.00","","1.82%"
"2005- 02- 15","4,511.00","4,511.00","4,511.00","4,511.00","","1.46%"
"2005- 02- 14","4,446.00","4,446.00","4,446.00","4,446.00","","1.55%"
"2005- 02- 11","4,378.00","4,378.00","4,378.00","4,378.00","","1.34%"
"2005- 02- 10","4,320.00","4,320.00","4,320.00","4,320.00","","2.30%"
"2005- 02- 09","4,223.00","4,223.00","4,223.00","4,223.00","","1.15%"
"2005- 02- 08","4,175.00","4,175.00","4,175.00","4,175.00","","-0.41%"
"2005- 02- 07","4,192.00","4,192.00","4,192.00","4,192.00","","-1.27%"
"2005- 02- 04","4,246.00","4,246.00","4,246.00","4,246.00","","-1.55%"
"2005- 02- 03","4,313.00","4,313.00","4,313.00","4,313.00","","-2.16%"
"2005- 02- 02","4,408.00","4,408.00","4,408.00","4,408.00","","-1.39%"
"2005- 02- 01","4,470.00","4,470.00","4,470.00","4,470.00","","-0.40%"
"2005- 01- 31","4,488.00","4,488.00","4,488.00","4,488.00","","0.61%"
"2005- 01- 28","4,461.00","4,461.00","4,461.00","4,461.00","","1.48%"
"2005- 01- 27","4,396.00","4,396.00","4,396.00","4,396.00","","1.29%"
"2005- 01- 26","4,340.00","4,340.00","4,340.00","4,340.00","","0.77%"
"2005- 01- 25","4,307.00","4,307.00","4,307.00","4,307.00","","0.35%"
"2005- 01- 24","4,292.00","4,292.00","4,292.00","4,292.00","","-0.21%"
"2005- 01- 21","4,301.00","4,301.00","4,301.00","4,301.00","","-1.31%"
"2005- 01- 20","4,358.00","4,358.00","4,358.00","4,358.00","","-2.53%"
"2005- 01- 19","4,471.00","4,471.00","4,471.00","4,471.00","","-2.61%"
"2005- 01- 18","4,591.00","4,591.00","4,591.00","4,591.00","","-1.65%"
"2005- 01- 17","4,668.00","4,668.00","4,668.00","4,668.00","","-1.12%"
