"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 07- 09","79.87","78.60","81.75","77.36","1.71M","1.78%"
"2023- 07- 02","78.47","75.11","78.54","74.56","1.11M","4.77%"
"2023- 06- 25","74.90","74.50","75.40","71.57","490.35K","1.42%"
"2023- 06- 18","73.85","76.40","77.24","72.11","1.15M","-3.60%"
"2023- 06- 11","76.61","74.87","76.74","71.58","1.51M","2.43%"
"2023- 06- 04","74.79","77.68","78.73","73.58","1.67M","-1.76%"
"2023- 05- 28","76.13","77.39","77.75","71.39","787.29K","-1.07%"
"2023- 05- 21","76.95","75.63","78.66","74.55","1.20M","1.81%"
"2023- 05- 14","75.58","74.15","77.50","73.49","1.23M","1.90%"
"2023- 05- 07","74.17","75.23","77.60","74.03","1.38M","-1.50%"
"2023- 04- 30","75.30","80.11","80.24","71.28","1.63M","-5.33%"
"2023- 04- 23","79.54","81.87","83.06","77.39","697.69K","-2.60%"
"2023- 04- 16","81.66","86.43","86.52","80.45","1.41M","-4.90%"
"2023- 04- 09","85.87","84.45","86.90","83.37","853.36K","0.88%"
"2023- 04- 02","85.12","86.00","86.44","83.50","1.29M","6.55%"
"2023- 03- 26","79.89","74.62","79.95","74.39","1.68M","6.53%"
"2023- 03- 19","74.99","73.01","77.44","70.12","1.06M","2.77%"
"2023- 03- 12","72.97","82.60","83.48","71.40","2.13M","-11.85%"
"2023- 03- 05","82.78","85.83","86.75","80.73","1.49M","-3.55%"
"2023- 02- 26","85.83","83.19","86.00","81.73","840.91K","3.21%"
"2023- 02- 19","83.16","83.15","84.30","80.40","893.44K","0.19%"
"2023- 02- 12","83.00","86.51","86.95","81.80","1.19M","-3.92%"
"2023- 02- 05","86.39","79.61","86.90","79.10","1.43M","8.07%"
"2023- 01- 29","79.94","86.88","87.48","79.62","1.04M","-7.75%"
"2023- 01- 22","86.66","87.70","89.09","85.41","805.81K","-1.11%"
"2023- 01- 15","87.63","85.36","87.85","83.76","1.12M","2.76%"
"2023- 01- 08","85.28","78.42","85.50","78.42","1.24M","8.29%"
"2023- 01- 01","78.75","85.69","86.66","77.77","693.84K","-8.33%"
"2022- 12- 25","85.91","84.50","86.00","81.28","299.20K","2.37%"
"2022- 12- 18","83.92","79.21","84.12","78.28","755.00K","6.17%"
"2022- 12- 11","79.04","76.88","83.18","75.26","1.11M","3.86%"
"2022- 12- 04","76.10","85.73","88.44","75.11","1.32M","-11.07%"
"2022- 11- 27","85.57","83.58","89.37","80.61","607.40K","2.32%"
"2022- 11- 20","83.63","87.74","89.90","82.31","918.50K","-4.55%"
"2022- 11- 13","87.62","95.87","96.95","85.80","1.52M","-8.72%"
"2022- 11- 06","95.99","97.31","99.56","91.73","1.32M","-2.62%"
"2022- 10- 30","98.57","96.47","98.81","92.33","1.05M","2.92%"
"2022- 10- 23","95.77","93.59","97.27","91.22","657.23K","2.43%"
"2022- 10- 16","93.50","91.71","94.77","88.77","1.24M","2.04%"
"2022- 10- 09","91.63","98.75","98.75","91.08","1.22M","-6.42%"
"2022- 10- 02","97.92","86.35","98.58","86.35","1.33M","11.32%"
"2022- 09- 25","87.96","86.62","90.12","83.65","361.78K","2.10%"
"2022- 09- 18","86.15","91.43","93.50","85.50","894.41K","-5.69%"
"2022- 09- 11","91.35","92.54","95.80","90.03","1.20M","-1.60%"
"2022- 09- 04","92.84","93.02","96.99","87.24","1.08M","-0.19%"
