,return,Inflation
2012-01-20,-0.36516891273489627,-0.8037521411128983
2012-01-27,-0.4085230125908956,-0.7930875571777528
2012-02-03,-0.47112814016453286,-0.800611325781632
2012-02-10,-0.4874685720307912,-0.853605975733073
2012-02-17,-0.4863418879451807,-0.9066006256845147
2012-02-24,-0.46848648277794575,-0.9595952756359558
2012-03-02,-0.43124482953602594,-0.9885098941380741
2012-03-09,-0.41690527819441664,-0.872944323944252
2012-03-16,-0.4327791598766381,-0.7573787537504304
2012-03-23,-0.4209559887892826,-0.6418131835566088
2012-03-30,-0.42505691291688924,-0.5262476133627871
2012-04-06,-0.4005078711079293,-0.5185969753042478
2012-04-13,-0.3719131617211811,-0.5541123100998209
2012-04-20,-0.39505904530820973,-0.5896276448953943
2012-04-27,-0.4366494103053477,-0.6251429796909674
2012-05-04,-0.4678494128687173,-0.7675507024276229
2012-05-11,-0.4361458505577632,-1.0524816090857232
2012-05-18,-0.4377281970907806,-1.3374125157438221
2012-05-25,-0.41683628497302366,-1.6223434224019215
2012-06-01,-0.36278228611709745,-1.9072743290600207
2012-06-08,-0.39139484229516547,-1.7207887980908423
2012-06-15,-0.38470568554398155,-1.5343032671216645
2012-06-22,-0.33757439307248416,-1.347817736152486
2012-06-29,-0.21842373895652653,-1.1613322051833075
2012-07-06,0.11588066362525709,-1.0893901476523735
2012-07-13,0.20881791177548137,-1.0632654794967362
2012-07-20,0.21092813062120075,-1.0371408113410987
2012-07-27,0.18109690935725659,-1.0110161431854616
2012-08-03,-0.2581978772452258,-0.9352977441053966
2012-08-10,-0.2760445043238662,-0.7355950177142621
2012-08-17,-0.31861177383812017,-0.5358922913231273
2012-08-24,-0.4052412412914148,-0.33618956493199215
2012-08-31,-0.43846257073635125,-0.13648683854085736
2012-09-07,-0.5262091387949339,-0.20827290411301666
2012-09-14,-0.527162806247074,-0.3253071016790579
2012-09-21,-0.46359783739463467,-0.44234129924509846
2012-09-28,-0.4253598293634615,-0.559375496811139
2012-10-05,-0.35593251632655143,-0.5993453535114267
2012-10-12,-0.22463571450502434,-0.5815169545623996
2012-10-19,-0.28169523176250116,-0.5636885556133722
2012-10-26,-0.27904294822946546,-0.5458601566643451
2012-11-02,-0.30327328312562535,-0.5074909301143177
2012-11-09,-0.3273181825184449,-0.3458767379582882
2012-11-16,-0.3011195593423147,-0.184262545802258
2012-11-23,-0.24575922491278437,-0.022648353646228882
2012-11-30,-0.25664039645650666,0.13896583850980096
2012-12-07,-0.35124103416953995,-0.07799957264111194
2012-12-14,-0.43657273447521305,-0.3580615843431825
2012-12-21,-0.4861167476136318,-0.6381235960452534
2012-12-28,-0.4812162652202394,-0.9181856077473229
2013-01-04,-0.47952971951117646,-1.0713271191061844
