,return,Dow Jones,S&P500,GDP,CPI,Inflation,BDI,30_yield,3m_yield,7_yield
2001-03-09,-0.21179644945645817,-0.7699448646840518,-0.6997224637501646,-1.3630823635050096,-1.51932622899864,0.33399229225301935,-0.38183871922055324,1.245554545751868,1.6011573223611282,1.4330561422421042
2001-03-16,-0.110319219409888,-0.8681824015561295,-0.7774581439526259,-1.3609540510220635,-1.5230234823047832,0.4748718776720578,-0.3839132131330104,1.21189218615536,1.5058549385597597,1.3107195477679439
2001-03-23,-0.006696739228250021,-0.9062986280676796,-0.7874928565199409,-1.3588257385391176,-1.526720735610926,0.6157514630910962,-0.4171051157323248,1.228723365953614,1.3734905166134144,1.3035232775047578
2001-03-30,0.1356326762044435,-0.8615587457109657,-0.7682676042273778,-1.356697426056172,-1.5304179889170695,0.7566310485101346,-0.42280997399158193,1.3633728043396462,1.3787850934912682,1.3610934396102452
2001-04-06,0.21975057630868183,-0.8720486929940146,-0.7981838808452665,-1.356100779336067,-1.53166927022306,0.837945995344268,-0.42177272703535335,1.3633728043396462,1.1881803258885313,1.3179158180311297
2001-04-13,0.16102431514890864,-0.8318725178883931,-0.7465383388381873,-1.3561167989211003,-1.5319421627289898,0.8954350867444404,-0.40932576356061046,1.4896066528265515,1.225242364033508,1.526607655663521
2001-04-20,0.018598489002779228,-0.7776929988558282,-0.6907569909909462,-1.3561328185061323,-1.5322150552349194,0.9529241781446122,-0.40517677573569616,1.6410872710108377,1.0981725189650164,1.5769815475058224
2001-04-27,-0.025681938136744163,-0.7501552423892092,-0.6813131078293687,-1.3561488380911644,-1.5324879477408493,1.0104132695447847,-0.4077698931262676,1.6579184508090918,1.140529133987847,1.6057666285585661
2001-05-04,-0.17075926913872763,-0.7332653386727802,-0.6685963663301381,-1.3561648576761964,-1.5315120740790915,1.0472182006315505,-0.3963601766077533,1.5232690124230597,1.0822887883314551,1.5050188448739634
2001-05-11,-0.29409484016590026,-0.7488082609043519,-0.6882342032338769,-1.3561808772612285,-1.528871178860418,1.056444251300439,-0.40517677573569616,1.7168275801029809,1.1034670958428703,1.7065144122431688
2001-05-18,-0.6224731522705818,-0.6913366521325978,-0.6448227235862375,-1.356196896846261,-1.5262302836417438,1.065670301969328,-0.4285148322508391,1.6158405013134567,1.0134592889193557,1.6633367906640533
2001-05-25,-0.6365293406819121,-0.726790018266446,-0.6580177610081905,-1.3562129164312928,-1.5235893884230702,1.0748963526382171,-0.44614803050672486,1.699996400304727,1.0399321733086246,1.7352994932959125
2001-06-01,-0.6819815450976286,-0.7285796135607147,-0.6741669454588307,-1.3562289360163249,-1.5209484932043966,1.0841224033071064,-0.45963224093769633,1.5737625518178218,1.0452267501864785,1.6345517096113098
2001-06-08,-0.7052527299450346,-0.730183789556446,-0.6701437875813205,-1.3562449556013574,-1.5285894833704259,1.0620089798838042,-0.44718527746295345,1.5905937316160756,1.029343019552917,1.6417479798744956
2001-06-15,-0.46958012114547976,-0.7724546046087681,-0.7175973142465488,-1.3562609751863894,-1.5362304735364554,1.0398955564605012,-0.440961795725582,1.5485157821204407,0.9658080970186714,1.5481964664530787
2001-06-22,-0.05032472975528173,-0.774733467600467,-0.707290712541736,-1.3562769947714215,-1.5438714637024846,1.0177821330371997,-0.4440735365942677,1.4643598831291704,0.9287460588736948,1.447448682768476
2001-06-29,0.12250613232824112,-0.7869579825149927,-0.7082003677360761,-1.3562930143564533,-1.5515124538685139,0.995668709613898,-0.4725978278905535,1.6074249114143297,1.0346375964307708,1.6633367906640533
2001-07-06,0.2655241029287987,-0.8168308258896413,-0.7398892470508138,-1.355576403557138,-1.5555819476435748,0.9647603329583814,-0.511494588749125,1.6074249114143297,1.0240484426750633,1.6345517096113098
2001-07-13,0.2920215625216911,-0.7825725170412036,-0.7163593314537482,-1.3545667406040829,-1.5582228428622484,0.9303339750099807,-0.5675059243854681,1.5148534225239325,1.0187538657972095,1.541000196189893
2001-07-20,-0.07430387481439653,-0.7780757999882921,-0.7208890617242806,-1.353557077651028,-1.560863738080922,0.8959076170615801,-0.6006978269847825,1.4306975235326624,0.9711026738965252,1.447448682768476
2001-07-27,-0.2717122377640825,-0.7972134641044073,-0.7256063096399589,-1.352547414697973,-1.563504633299596,0.8614812591131787,-0.6333711061059825,1.4391131134317894,0.9816918276522328,1.4114673314525465
2001-08-03,-0.4331892296747978,-0.7857162713415629,-0.7176067015767699,-1.3515377517449176,-1.5638064498960156,0.8879835877229278,-0.6535974217524397,1.4727754730282976,0.9658080970186714,1.454644953031662
2001-08-10,-0.47809312045334007,-0.7972637067530431,-0.7402924443317686,-1.3505280887918627,-1.5582605699368013,1.0668076327280522,-0.6556719156648969,1.4138663437344083,0.9181569051179871,1.375485980136617
2001-08-17,-0.5252226086535563,-0.8182543676009912,-0.7667295703064164,-1.3495184258388078,-1.552714689977586,1.2456316777331773,-0.6644885147928398,1.3381260346422652,0.8810948669730105,1.2819344667152002
2001-08-24,-0.46249952520586074,-0.7964358993040901,-0.7451972098925927,-1.3485087628857526,-1.5471688100183714,1.4244557227383015,-0.6821217130487255,1.3549572144405193,0.9128623282401334,1.3323083585575015
2001-08-31,-0.4661004611362751,-0.8530689343450406,-0.7933542139262102,-1.3474990999326977,-1.5416229300591566,1.6032797677434258,-0.6966431704359255,1.3044636750457572,0.8863894438508643,1.2603456559256425
2001-09-07,-0.6757261963046779,-0.8942080935495164,-0.838181806681575,-1.3464894369796427,-1.5541634096404016,1.3822574158827559,-0.6784913487019255,1.3044636750457572,0.8334436750723262,1.224364304609713
2001-09-14,-0.09286800508083408,-0.8942487661698406,-0.8318421533525834,-1.3454797740265874,-1.5697182824783895,1.0945939978777863,-0.6468553165369539,1.270801315449249,0.4998853317675364,0.9652985751350202
2001-09-21,0.41038492559218553,-1.0580996133997633,-0.9507011514613206,-1.3444701110735324,-1.585273155316378,0.8069305798728174,-0.6691561260958683,1.4727754730282976,0.29339683353123797,1.051653818293251
2001-09-28,1.9246733243029626,-0.9849188031545234,-0.8802336116824515,-1.3434604481204775,-1.600828028154366,0.5192671618678484,-0.6961245469578112,1.3297104447431383,0.3728154866990451,1.0084761967141356
2001-10-05,2.0367137425846082,-0.952355585570777,-0.8516863970415467,-1.3418909738745077,-1.6139834590508162,0.35545273203221806,-0.6997549113046113,1.237138955852741,0.26162937226411515,0.9293172238190907
2001-10-12,1.8816862943240789,-0.9255128524102877,-0.8326768243847925,-1.3399016411588514,-1.6253393084911136,0.284525043323592,-0.691975559132897,1.3297104447431383,0.29339683353123797,1.0372612777668793
2001-10-19,1.6398268865097003,-0.9422663832232763,-0.8497170038489676,-1.3379123084431959,-1.6366951579314104,0.213597354614966,-0.7044225226076398,1.2792169053483762,0.26162937226411515,1.0084761967141356
2001-10-26,0.03337646240362065,-0.9014669600238623,-0.8205227503006364,-1.33592297572754,-1.6480510073717076,0.14266966590634,-0.7220557208635257,1.203476596256233,0.2351564878748461,0.9293172238190907
2001-11-02,-0.15624918224851977,-0.9279795272076016,-0.8368501795458383,-1.333933643011884,-1.6605525023092478,0.11429478829947984,-0.7241302147759827,0.9425933093832956,0.16632698846274663,0.828569440134488
2001-11-09,-0.012111859383849864,-0.8939508990386422,-0.8057989518083061,-1.3319443102962283,-1.6799278702302507,0.34123677730321406,-0.7194626034729542,0.8752685901902794,0.07102460466137811,0.8069806293449302
2001-11-16,1.0103158682495486,-0.8629691286333873,-0.788599416689648,-1.3299549775805724,-1.6993032381512534,0.568178766306949,-0.7163508626042685,1.228723365953614,0.13455952719562378,1.2603456559256425
2001-11-23,1.5468144556089696,-0.8518774658202469,-0.7776363887471877,-1.3279656448649164,-1.7186786060722563,0.7951207553106832,-0.7127204982574684,1.3044636750457572,0.13455952719562378,1.3395046288206875
