Date,Predictions,Ground Truths
2005-05-27,-0.17092669407863093,-0.3546689960109673
2005-06-03,-0.3180191103616528,-0.2384632644453292
2005-06-10,-0.22325031715283855,-0.026594667994254
2005-06-17,0.06600435240937569,0.1235458391474227
2005-06-24,0.24419506665168927,0.2176312662830479
2005-07-01,0.24290569446655808,0.2180676715601095
2005-07-08,0.11807991307138926,0.1290187619797779
2005-07-15,0.011878506513901318,-0.1225953687063307
2005-07-22,-0.17513293963283344,-0.2529388536123085
2005-07-29,-0.2630202118035589,-0.4052669402346506
2005-08-05,-0.40396913385984495,-0.5916776563265659
2005-08-12,-0.6053907919329291,-0.5028065171023448
2005-08-19,-0.47207943266473695,-0.2843634638720144
2005-08-26,-0.1489913368754457,-0.1909333866218177
2005-09-02,-0.06547009577788984,0.0197876406470125
2005-09-09,0.06053584567886301,-0.0037965829981494
2005-09-16,-0.05051063142144098,-0.141219263452691
2005-09-23,-0.2226321538252962,0.1418873145190525
2005-09-30,0.17628198020315067,0.1062476230638823
2005-10-07,0.2164905989358018,0.0692791157016034
2005-10-14,0.060055139690510045,0.1004123503675739
2005-10-21,-0.009383231236875855,-0.334811681470522
2005-10-28,-0.42783808603222,-0.3853770014961544
2005-11-04,-0.382415200690653,-0.355237668300624
2005-11-11,-0.21495555110520692,-0.2920801640363613
2005-11-18,-0.16996111711083606,-0.2486786735385085
2005-11-25,-0.2131125810859868,-0.285537123664673
2005-12-02,-0.3119214542604959,-0.4123977957749411
2005-12-09,-0.4374446129041391,-0.5217782168915784
2005-12-16,-0.4963435207864253,-0.3542151358090935
2005-12-23,-0.2635343841394205,-0.2383310437932167
2005-12-30,-0.12410028981602336,-0.2286581315239336
2006-01-06,-0.20112060633517792,-0.068919798662426
2006-01-13,-0.10627149353326712,-0.2546051819276419
2006-01-20,-0.28738093026658434,-0.4462765855281382
2006-01-27,-0.46737643093241804,-0.4185525299630931
2006-02-03,-0.37802611493263444,-0.5447360183076602
2006-02-10,-0.45805049660157554,-0.4639390348721546
2006-02-17,-0.37484442017210146,-0.4991721903016497
2006-02-24,-0.421415356655063,-0.4058759166033744
2006-03-03,-0.3291302613369537,-0.2771563957257694
2006-03-10,-0.18732174054454323,-0.2327005683161017
2006-03-17,-0.17452461353178245,-0.1409196599683998
2006-03-24,-0.12704953171099947,-0.1399517301719176
2006-03-31,-0.1595791862973114,-0.2787083023055629
2006-04-07,-0.31715360196758074,-0.4553133076153617
2006-04-14,-0.4752164533315887,-0.5910218588241227
2006-04-21,-0.551830186518712,-0.7267228972903264
2006-04-28,-0.6365579786154377,-0.7993311607103004
2006-05-05,-0.6808118761233009,-0.5750430639303394
2006-05-12,-0.3981971630278413,-0.2998821442395373
2006-05-19,-0.12162116950016724,-0.1978082423723818
2006-05-26,-0.10345455993805491,-0.1339003695933307
2006-06-02,-0.17828764757397822,-0.2259373738549401
2006-06-09,-0.3292252304873085,-0.4309996674949794
2006-06-16,-0.4498711965686048,-0.3967787839321359
2006-06-23,-0.35915404382884725,-0.4742452209626445
2006-06-30,-0.3959020726307034,-0.58703962473601
2006-07-07,-0.5753828878254084,-0.6499354306915357
2006-07-14,-0.6336740304125305,-0.834722045516002
2006-07-21,-0.7902229410562389,-0.7370347611685216
2006-07-28,-0.6543564685001153,-0.7009075764599051
2006-08-04,-0.5526127658588019,-0.5926832841608889
2006-08-11,-0.5169140705186619,-0.5302388009234693
2006-08-18,-0.4880764162120789,-0.5753346983696169
2006-08-25,-0.5789357706153886,-0.5618236992452166
2006-09-01,-0.5679126767991775,-0.6068417734530309
2006-09-08,-0.5919721066210193,-0.6515123860579332
2006-09-15,-0.6276016681624651,-0.6352758706385131
2006-09-22,-0.605630463564917,-0.4729364361034309
2006-09-29,-0.3874834303918092,-0.3881825743798496
2006-10-06,-0.30311820157805475,-0.1632380487339018
2006-10-13,-0.10201938596058985,-0.1823958322732714
2006-10-20,-0.17655927985171227,-0.2802679510654173
2006-10-27,-0.34508764812732856,-0.24087057955117
2006-11-03,-0.2711570424344393,-0.2423542651944353
2006-11-10,-0.1871852616239383,-0.147881385282365
2006-11-17,-0.07660685471838588,-0.0879009444133762
2006-11-24,-0.05341114147538199,-0.2221088363448552
2006-12-01,-0.27715351953088657,-0.4255789229066308
2006-12-08,-0.5093118558345581,-0.5411049092570078
2006-12-15,-0.5521464869217667,-0.7524193887200885
2006-12-22,-0.7159638406967894,-0.7015161536649711
2006-12-29,-0.6454664486900635,-0.7673952231023052
2007-01-05,-0.7082244618476192,-0.5167383530134612
2007-01-12,-0.42769553688857564,-0.1347122528426535
2007-01-19,0.04165911009614759,0.0227143849688267
2007-01-26,0.14654196876740266,0.2718356761346764
2007-02-02,0.2651311582314277,0.4552133809730573
2007-02-09,0.3957431356458245,0.3266839401594251
2007-02-16,0.2692712598751137,0.3654220555456351
2007-02-23,0.2804304343838909,0.158638856350651
2007-03-02,0.05346364348730148,-0.2749939581719056
2007-03-09,-0.3865437412545064,-0.4006906812087118
2007-03-16,-0.4203192982175016,-0.7327426912329815
2007-03-23,-0.6730195517331378,-0.8519831513453338
2007-03-30,-0.7798177495495295,-0.677127276274421
2007-04-06,-0.5626866851202389,-0.6698307931246865
2007-04-13,-0.5367951692785139,-0.624992573590711
2007-04-20,-0.5734665573697981,-0.5066864181100896
2007-04-27,-0.4865179325098351,-0.5337281348947106
2007-05-04,-0.5244041863013563,-0.620754473770652
2007-05-11,-0.6278018502149778,-0.6659057886078543
2007-05-18,-0.6552391576657365,-0.6800147043534379
2007-05-25,-0.6268806024727375,-0.6618455544218426
