,Predictions,Ground Truths
2005-05-27,-0.22431851697122834,-0.3634757237525401
2005-06-03,-0.34179029202915984,-0.2477580556736137
2005-06-10,-0.21391560584545538,-0.0367793062594743
2005-06-17,0.04530937424604087,0.1127306115091572
2005-06-24,0.18019265298098952,0.2064208803251548
2005-07-01,0.19453668801850182,0.2068554527022529
2005-07-08,0.12347480615081981,0.1181805480932088
2005-07-15,0.11510753050173779,-0.1323768045125583
2005-07-22,-0.27129036436032694,-0.262172847439072
2005-07-29,-0.2974910574271465,-0.413861156865579
2005-08-05,-0.37707604863256505,-0.5994889488897184
2005-08-12,-0.5765667607604406,-0.5109910680021854
2005-08-19,-0.4734860628401208,-0.2934654744941178
2005-08-26,-0.1983099411165119,-0.2004278030973339
2005-09-02,-0.12538415617948523,0.0094081969193404
2005-09-09,0.04934016032372425,-0.0140769731054143
2005-09-16,-0.04474424872053785,-0.1509224789948783
2005-09-23,-0.23165210477725878,0.1309950527766968
2005-09-30,0.15374095743017824,0.0955050478459569
2005-10-07,0.1450579845924952,0.0586918080282187
2005-10-14,0.02463496113296774,0.0896942832655537
2005-10-21,0.03170736906751592,-0.3437018098330519
2005-10-28,-0.4295558397129881,-0.3940547557695072
2005-11-04,-0.422713027438274,-0.3640420076214473
2005-11-11,-0.2787211036528844,-0.301149764556679
2005-11-18,-0.20552021977385687,-0.2579305601001038
2005-11-25,-0.20872964356319074,-0.2946342049215643
2005-12-02,-0.2939967798760579,-0.4209620628485513
2005-12-09,-0.42284133046909345,-0.5298830867479521
2005-12-16,-0.4957034149076064,-0.363023769761226
2005-12-23,-0.2730683672932729,-0.2476263903475735
2005-12-30,-0.1452596428514436,-0.2379941042610544
2006-01-06,-0.2073081602195485,-0.0789266715922267
2006-01-13,-0.07608524301275639,-0.263832177183882
2006-01-20,-0.28958474395468203,-0.4546985618555886
2006-01-27,-0.47434422303512014,-0.4270909471841428
2006-02-03,-0.3823649755121069,-0.5527444655138306
2006-02-10,-0.47646568497233777,-0.4722868290014073
2006-02-17,-0.3919465341033282,-0.5073720053557303
2006-02-24,-0.43874065592176714,-0.4144675755366244
2006-03-03,-0.3496164058157043,-0.2862886759977517
2006-03-10,-0.21247275914341457,-0.2420195628390757
2006-03-17,-0.19002321077857448,-0.1506241338437106
2006-03-24,-0.12699043223020887,-0.1496602693474938
2006-03-31,-0.14411788055034194,-0.2878340645777342
2006-04-07,-0.2551571537717139,-0.4636973297556054
2006-04-14,-0.5225503993009879,-0.5988359057334792
2006-04-21,-0.5539291925525737,-0.7339670005222765
2006-04-28,-0.5038389837661903,-0.8062703096019491
2006-05-05,-0.7115389331009367,-0.5829242216976909
2006-05-12,-0.4805756072304008,-0.3089189764823363
2006-05-19,-0.17425639412165944,-0.207273784488406
2006-05-26,-0.09418077584883933,-0.1436343244528284
2006-06-02,-0.1438357201359629,-0.2352847737605536
2006-06-09,-0.30046577501604665,-0.4394858068011488
2006-06-16,-0.4169365207810849,-0.4054086507767409
2006-06-23,-0.34221270636100115,-0.4825497291622769
2006-06-30,-0.3598836046936329,-0.5948703970084597
2006-07-07,-0.6169138130294083,-0.6575020408960683
2006-07-14,-0.5933603694491263,-0.8415125528698939
2006-07-21,-0.7611327445731473,-0.7442355546241718
2006-07-28,-0.6657828757600857,-0.7082601039091923
2006-08-04,-0.6198431167271482,-0.6004903530922072
2006-08-11,-0.5275540575877025,-0.5383081363695641
2006-08-18,-0.48373090652685724,-0.5832146312737938
2006-08-25,-0.5605275318130213,-0.5697603782775987
2006-09-01,-0.5474900056919105,-0.6145893768007038
2006-09-08,-0.5900235757300545,-0.6590723730578772
2006-09-15,-0.6302175093510365,-0.6429040509213606
2006-09-22,-0.6053863768721917,-0.4812464411928737
2006-09-29,-0.36984567637115234,-0.3968485452612355
2006-10-06,-0.38002760175658673,-0.1728487854889182
2006-10-13,-0.0906747543114412,-0.1919261064340085
2006-10-20,-0.16349030669309814,-0.2893871628206603
2006-10-27,-0.3325752465090409,-0.2501552600681468
2006-11-03,-0.2697753629458953,-0.2516327142391905
2006-11-10,-0.22057426781474077,-0.1575566199464556
2006-11-17,-0.10804511292635861,-0.0978280966267185
2006-11-24,-0.06946030667804824,-0.2314723160887091
2006-12-01,-0.2682506093979913,-0.434087829312742
2006-12-08,-0.4879331008519839,-0.5491286071028845
2006-12-15,-0.5497519653182066,-0.7595555668175853
2006-12-22,-0.671055752110906,-0.7088661250930651
2006-12-29,-0.6749650460786234,-0.7744685027708991
2007-01-05,-0.7004586575485634,-0.5248643902727139
2007-01-12,-0.4341754288979305,-0.1444427977965972
2007-01-19,-0.009468398263253894,0.0123226489297585
2007-01-26,0.17846092388673981,0.260397631928684
2007-02-02,0.3167203794258527,0.4430051513312624
2007-02-09,0.3276706999964086,0.3150155335210522
2007-02-16,0.17569212730589331,0.3535909490179427
2007-02-23,0.23771753258109585,0.1476762382170573
2007-03-02,0.04084678836141773,-0.284135320670712
2007-03-09,-0.39616536098990796,-0.4093041181044775
2007-03-16,-0.43588050375818577,-0.7399615113607219
2007-03-23,-0.6905434308809716,-0.8587011621417661
2007-03-30,-0.7837376984338896,-0.6845796808645962
2007-04-06,-0.5817675480977867,-0.6773138429073046
2007-04-13,-0.5706736018526292,-0.6326639436693149
2007-04-20,-0.5750079396084685,-0.5148546734452587
2007-04-27,-0.33211724759982947,-0.541782815155718
2007-05-04,-0.543176354498246,-0.6284436438471332
2007-05-11,-0.6265761421080598,-0.6734053233896548
2007-05-18,-0.6127963437497698,-0.6874549817602384
