Date,Predictions,Ground Truths
2005-05-27,-0.22160394700028002,-0.3550971297096639
2005-06-03,-0.3265301834112161,-0.2389181448416731
2005-06-10,-0.19542838237915477,-0.0270983135006651
2005-06-17,0.06442015419843876,0.1230076362857501
2005-06-24,0.19208696225696253,0.2170714080827039
2005-07-01,0.1897330696553381,0.2175077129137734
2005-07-08,0.10149338778944171,0.1284792994331459
2005-07-15,-0.007161774279742586,-0.1230769180417416
2005-07-22,-0.24339111993638582,-0.2533904022090802
2005-07-29,-0.299521658778797,-0.4056834279680623
2005-08-05,-0.38619902694594976,-0.5920512385079506
2005-08-12,-0.5448433895275812,-0.5032005544666054
2005-08-19,-0.42940452308784066,-0.2848077795678098
2005-08-26,-0.1613201391667534,-0.1913992068165195
2005-09-02,-0.09558575149996087,0.0192733194745332
2005-09-09,0.07208046877644876,-0.0043054758660987
2005-09-16,-0.04887597818407889,-0.1416965261864422
2005-09-23,-0.26218302567947227,0.1413448900592749
2005-09-30,0.14154718339836228,0.1057134016766963
2005-10-07,0.13174287434772888,0.0687534032362715
2005-10-14,0.014875389895594112,0.0998794720662443
2005-10-21,0.03317228692531753,-0.3352443856631258
2005-10-28,-0.44755360057715665,-0.3857980672324795
2005-11-04,-0.4336470065079314,-0.3556656711098577
2005-11-11,-0.29441989030553234,-0.2925227036042209
2005-11-18,-0.19303379351567473,-0.2491312026871585
2005-11-25,-0.18548420305664237,-0.2859811692229873
2005-12-02,-0.2856956153496307,-0.4128126422223806
2005-12-09,-0.44770319041154255,-0.5221678876010166
2005-12-16,-0.5363406001271143,-0.3546433739713259
2005-12-23,-0.29923441248977933,-0.2387859546223608
2005-12-30,-0.13861554597910603,-0.229115268736031
2006-01-06,-0.18892629188571997,-0.0694137023303098
2006-01-13,-0.05805276540198663,-0.255056346991011
2006-01-20,-0.3153327642523725,-0.4466836342040395
2006-01-27,-0.5241617051226419,-0.4189659597952572
2006-02-03,-0.422384144855126,-0.5451204048941481
2006-02-10,-0.49513996732899673,-0.464342018239177
2006-02-17,-0.3987291878733121,-0.4995670641671635
2006-02-24,-0.4419205350995197,-0.4062922641706635
2006-03-03,-0.35978033398893955,-0.2776023702491461
2006-03-10,-0.22166836362618947,-0.2331567750935881
2006-03-17,-0.20287929727638104,-0.1413969916609167
2006-03-24,-0.1358548859124235,-0.1404292846497073
2006-03-31,-0.16330048955404133,-0.279153919631618
2006-04-07,-0.3408714086685205,-0.4557182763381476
2006-04-14,-0.5087225554723982,-0.5913955919482989
2006-04-21,-0.588665548451588,-0.7270653965450765
2006-04-28,-0.6673504404268361,-0.7996569479557354
2006-05-05,-0.705934534143262,-0.5754204748420914
2006-05-12,-0.4574312905703376,-0.3003228880508303
2006-05-19,-0.14346912097044962,-0.1982724802037557
2006-05-26,-0.10997319566713278,-0.1343793168932263
2006-06-02,-0.15500208714977898,-0.2263951372950365
2006-06-09,-0.3184833138974784,-0.431410232409728
2006-06-16,-0.5199698182237683,-0.3971972253570492
2006-06-23,-0.40473685147070476,-0.4746458321881249
2006-06-30,-0.42555599851243386,-0.5874142744381353
2006-07-07,-0.5447171483096541,-0.6502956038692891
2006-07-14,-0.608809443362735,-0.8350396869558678
2006-07-21,-0.7711224577560104,-0.7373748869748918
2006-07-28,-0.6536525755849313,-0.7012560175436134
2006-08-04,-0.5917882693050294,-0.5930566348801651
2006-08-11,-0.49697176598969417,-0.5306265242876264
2006-08-18,-0.4645846529680079,-0.5757120421568126
2006-08-25,-0.5527281772835901,-0.562204152815412
2006-09-01,-0.5502498371878944,-0.6072118653585884
2006-09-08,-0.5815356874698009,-0.6518721962729667
2006-09-15,-0.6140168597167971,-0.6356394179598228
2006-09-22,-0.5828046973435449,-0.4733373485676923
2006-09-29,-0.39407389317941965,-0.3886029943665319
2006-10-06,-0.3138827222048095,-0.1637102434750116
2006-10-13,-0.0931253714176404,-0.1828636175292635
2006-10-20,-0.18670513953190698,-0.2807132094121583
2006-10-27,-0.36069235238050307,-0.2413249058635767
2006-11-03,-0.288509452728823,-0.2428082500117129
2006-11-10,-0.23528917010903863,-0.1483571146170673
2006-11-17,-0.10810195981657207,-0.0883904792522912
2006-11-24,-0.058595562846052156,-0.2225674809870561
2006-12-01,-0.2694981990620665,-0.425990735496641
2006-12-08,-0.5000745871491142,-0.54149013160413
2006-12-15,-0.558970199385383,-0.7527559734964596
2006-12-22,-0.699795012521299,-0.701864454674431
2006-12-29,-0.610958099442714,-0.7677283609392798
2007-01-05,-0.65549305066896,-0.517129183732079
2007-01-12,-0.4044535965985835,-0.1351910132740056
2007-01-19,0.04046030206609521,0.0221993901570663
2007-01-26,0.13256939668643028,0.2712633418805104
2007-02-02,0.280100981725039,0.4545988392652614
2007-02-09,0.3781425482875451,0.3260989816576028
2007-02-16,0.12882773340316145,0.3648281808169994
2007-02-23,0.23510171271660063,0.1580925762426325
2007-03-02,0.0686527533450736,-0.275440430416545
2007-03-09,-0.3720632187454518,-0.4011082222448726
2007-03-16,-0.41254033707032167,-0.7330838049312164
2007-03-23,-0.6583798974287974,-0.8522968198522602
2007-03-30,-0.7361888995577138,-0.6774811907929631
2007-04-06,-0.5376238900734933,-0.6701863870511722
2007-04-13,-0.5314738307370968,-0.6253584877852657
2007-04-20,-0.5384510863181348,-0.5070795624500755
2007-04-27,-0.446570936819925,-0.5341150551301453
2007-05-04,-0.49808288922198896,-0.6211213634349444
2007-05-11,-0.6092658899366878,-0.6662622859399436
2007-05-18,-0.6431768795275736,-0.6803679542819913
2007-05-25,-0.6267111324557948,-0.6622029862849115
