date,return
1986-01-10,0.008112851142357375
1986-01-17,-0.056185662120311085
1986-01-24,-0.19041281094079449
1986-01-31,-0.03100248294125898
1986-02-07,-0.16350528499447875
1986-02-14,-0.02851269888080898
1986-02-21,-0.12155938787646997
1986-02-28,-0.00977661418461699
1986-03-07,-0.14959964799183956
1986-03-14,0.06316226891331059
1986-03-21,0.028659578411717474
1986-03-28,-0.11407245625984769
1986-04-04,-0.04779066383634855
1986-04-11,0.16260633826492998
1986-04-18,-0.10157044767856091
1986-04-25,0.10008345855698243
1986-05-02,0.023530497410194036
1986-05-09,0.09160353007461236
1986-05-16,0.042835880409447115
1986-05-23,0.039245148393786365
1986-05-30,-0.1116928828498781
1986-06-06,-0.09975995610093437
1986-06-13,-0.0030234338979971747
1986-06-20,0.04514269980528988
1986-06-27,-0.018992535827274348
1986-07-04,-0.10323233281316854
1986-07-11,-0.09424778441162747
1986-07-18,0.08932974171198221
1986-07-25,-0.07328661687140665
1986-08-01,0.012302439872219571
1986-08-08,0.24508448503178434
1986-08-15,0.050643732818754936
1986-08-22,-0.005865119452398022
1986-08-29,0.03025657257655713
1986-09-05,0.01884477877447433
1986-09-12,-0.06027465194915667
1986-09-19,-0.06132711569850353
1986-09-26,0.004907125164100696
1986-10-03,0.049123109070127076
1986-10-10,0.009277733878236893
1986-10-17,-0.031493390028439684
1986-10-24,0.021549655459584715
1986-10-31,-0.03250116806317913
1986-11-07,0.030500500506882
1986-11-14,0.030893025254680982
1986-11-21,-0.0032414939241709557
1986-11-28,-0.02565086377421298
1986-12-05,0.012578782206860185
1986-12-12,0.009168368086879507
1986-12-19,0.0563975855873897
1986-12-26,0.049288822203026064
1987-01-02,0.04641337171882707
1987-01-09,0.02869954147918793
1987-01-16,0.03527891243567832
1987-01-23,-0.019088596562522625
1987-01-30,-0.0032171609517754637
1987-02-06,-0.00917190136238487
1987-02-13,-0.016944925799545537
1987-02-20,-0.028517448277211806
1987-02-27,-0.051203738138703325
1987-03-06,0.04208686587488971
1987-03-13,0.04696223454045412
1987-03-20,0.022145112363026666
1987-03-27,-0.006968669316093316
1987-04-03,0.009636048865064731
1987-04-10,-0.009098269879261798
1987-04-17,-0.01626052087178029
1987-04-24,0.03437502791055701
1987-05-01,-0.009549144179853506
1987-05-08,0.0200534424467296
1987-05-15,0.01965919496013807
1987-05-22,0.016764426148253166
1987-05-29,-0.02602851710805125
1987-06-05,0.019964830009375736
1987-06-12,0.007573881193903955
1987-06-19,0.024839826566150774
1987-06-26,-0.008376496379049053
1987-07-03,0.01229422910795071
1987-07-10,0.028903746182348995
1987-07-17,0.04502965410842234
1987-07-24,-0.024352225680634748
1987-07-31,-0.011696039763191298
1987-08-07,0.012625839923157777
1987-08-14,-0.03402974858631137
1987-08-21,-0.0589133464990174
1987-08-28,-0.009736177345075887
1987-09-04,0.007183201743492352
1987-09-11,-0.00924505814405105
1987-09-18,0.012817401825749525
1987-09-25,-0.0030612268803847384
1987-10-02,0.003570521518334907
1987-10-09,0.0005090353889502819
1987-10-16,0.00861419058657171
1987-10-23,0.008040244318565544
1987-10-30,0.0024993764573194243
1987-11-06,-0.04388459262017378
1987-11-13,-0.015243396340198681
1987-11-20,-0.014941579998198914
1987-11-27,0.012289761949905338
1987-12-04,-0.011215070820139844
1987-12-11,-0.015151805020602333
1987-12-18,-0.11485656948505632
1987-12-25,-0.007366515816762666
1988-01-01,0.033326319512560404
1988-01-08,0.04771120100504605
1988-01-15,-0.04711543095465676
1988-01-22,0.02412591272995787
1988-01-29,-0.016413029641330033
1988-02-05,0.009411834182346378
1988-02-12,0.009324076875123244
1988-02-19,-0.031823545812837604
1988-02-26,-0.02240481244033571
1988-03-04,-0.043172171865208546
1988-03-11,0.006373507872092201
1988-03-18,0.021371020761562918
1988-03-25,0.03062088595632871
1988-04-01,0.029125387099200487
1988-04-08,-0.010600805986640574
1988-04-15,0.07194882989115094
1988-04-22,0.0005508124622874325
1988-04-29,0.0049437068553532856
1988-05-06,-0.051149108676104685
1988-05-13,0.009756174945364874
1988-05-20,0.0011415526353827253
1988-05-27,-0.013785399237944094
1988-06-03,0.014925650216675792
1988-06-10,-0.023055776299925963
1988-06-17,-0.03380102390480004
1988-06-24,-0.038738320476295225
1988-07-01,-0.030556164645878688
1988-07-08,-0.0012936612412203913
1988-07-15,-0.053851494810588894
1988-07-22,0.08004270767353636
1988-07-29,0.017500446635100867
1988-08-05,-0.04369165949804835
1988-08-12,0.014139053024175043
1988-08-19,-0.005760015925327254
1988-08-26,-0.002570695503100866
1988-09-02,-0.026737817139236703
1988-09-09,-0.04945132121830968
1988-09-16,0.02401487620387392
1988-09-23,0.010118130165584686
1988-09-30,-0.0665988076190357
1988-10-07,-0.08141859399114895
1988-10-14,0.09141153938866763
1988-10-21,0.047165468442430136
1988-10-28,-0.093685484077323
1988-11-04,0.022803489017576898
1988-11-11,0.013005963679133984
1988-11-18,-0.013005963679133993
1988-11-25,0.048270548673199166
1988-12-02,0.06050232009794336
1988-12-09,0.018100041643617937
1988-12-16,0.04386668210558172
1988-12-23,0.043785104768247096
1988-12-30,-0.002938585717329032
1989-01-06,0.02096757070902774
1989-01-13,0.040107041595971
1989-01-20,0.05336755358387079
1989-01-27,-0.06506359334706188
1989-02-03,-0.024958754445550433
1989-02-10,-0.0011494254139059483
1989-02-17,0.038911026597838606
1989-02-24,0.020799874110675774
1989-03-03,-0.0032555644597662965
1989-03-10,0.0054200674693393345
1989-03-17,0.0633553890803497
1989-03-24,0.014606152389362102
1989-03-31,0.01980262729617973
