,return,sentiment
2000-02-04,-0.3652007689942685,1.0
2000-02-11,-0.523913005810865,0.0
2000-02-18,-0.03636519456136107,1.0
2000-02-25,0.11241696570838022,0.0
2000-03-03,0.14008271187222385,0.0
2000-03-10,0.9727395690497864,2.0
2000-03-17,1.1367429233063526,0.0
2000-03-24,1.287341766573021,1.0
2000-03-31,1.2987023608342563,2.0
2000-04-07,0.5419372485227907,0.0
2000-04-14,0.6948949927914202,1.0
2000-04-21,0.5807895037317495,1.0
2000-04-28,0.636261883503063,0.0
2000-05-05,0.7198243338063257,0.0
2000-05-12,0.6350219492172934,0.0
2000-05-19,0.21470518813152453,0.0
2000-05-26,0.42563818736484177,2.0
2000-06-02,0.3129027801254562,2.0
2000-06-09,0.24648342601581583,1.0
2000-06-16,0.44978903244908697,0.0
2000-06-23,0.9049644344690924,0.0
2000-06-30,0.8558816170546824,1.0
2000-07-07,0.9320507561113718,0.0
2000-07-14,0.6297529623281901,1.0
2000-07-21,0.11182920571005782,1.0
2000-07-28,0.10497332221349988,2.0
2000-08-04,-0.07839058330832223,0.0
2000-08-11,0.12369367573905508,0.0
2000-08-18,0.24330796858270232,0.0
2000-08-25,0.5163231593917286,0.0
2000-09-01,0.6021844389935707,0.0
2000-09-08,0.5261045944365708,2.0
2000-09-15,0.6737747714640682,0.0
2000-09-22,0.6356619846250797,0.0
2000-09-29,0.8425665937982759,2.0
2000-10-06,0.8881109284748502,0.0
2000-10-13,0.8547516994840515,0.0
2000-10-20,1.1121996582582523,1.0
2000-10-27,0.9182093641100477,2.0
2000-11-03,0.7752071454770605,0.0
2000-11-10,0.35734149447360875,1.0
2000-11-17,-0.23778597424709658,0.0
2000-11-24,-0.2767138828797637,2.0
2000-12-01,-0.28135499275216536,2.0
2000-12-08,0.32748188635373754,0.0
2000-12-15,0.679165595081348,0.0
2000-12-22,1.2536223233408006,2.0
2000-12-29,1.5003305444646704,1.0
2001-01-05,1.2891118873865108,1.0
2001-01-12,1.0778326501557471,0.0
2001-01-19,0.7566121835391634,1.0
2001-01-26,0.30525171227489123,0.0
2001-02-02,0.3782646906065388,2.0
2001-02-09,0.6107208583579669,1.0
2001-02-16,0.5307571220452092,0.0
2001-02-23,0.2787787112065722,0.0
2001-03-02,0.12109202266611455,2.0
2001-03-09,-0.21179644945645817,0.0
2001-03-16,-0.110319219409888,0.0
2001-03-23,-0.006696739228250021,1.0
2001-03-30,0.1356326762044435,1.0
2001-04-06,0.21975057630868183,0.0
2001-04-13,0.16102431514890864,0.0
2001-04-20,0.018598489002779228,0.0
2001-04-27,-0.025681938136744163,2.0
2001-05-04,-0.17075926913872763,1.0
2001-05-11,-0.29409484016590026,2.0
2001-05-18,-0.6224731522705818,1.0
2001-05-25,-0.6365293406819121,2.0
2001-06-01,-0.6819815450976286,0.0
2001-06-08,-0.7052527299450346,0.0
2001-06-15,-0.46958012114547976,1.0
2001-06-22,-0.05032472975528173,0.0
2001-06-29,0.12250613232824112,1.0
2001-07-06,0.2655241029287987,2.0
2001-07-13,0.2920215625216911,0.0
2001-07-20,-0.07430387481439653,0.0
2001-07-27,-0.2717122377640825,0.0
2001-08-03,-0.4331892296747978,1.0
2001-08-10,-0.47809312045334007,2.0
2001-08-17,-0.5252226086535563,1.0
2001-08-24,-0.46249952520586074,1.0
2001-08-31,-0.4661004611362751,1.0
2001-09-07,-0.6757261963046779,2.0
2001-09-14,-0.09286800508083408,1.0
2001-09-21,0.41038492559218553,1.0
2001-09-28,1.9246733243029626,2.0
2001-10-05,2.0367137425846082,2.0
2001-10-12,1.8816862943240789,0.0
2001-10-19,1.6398268865097003,0.0
2001-10-26,0.03337646240362065,2.0
2001-11-02,-0.15624918224851977,0.0
2001-11-09,-0.012111859383849864,1.0
2001-11-16,1.0103158682495486,2.0
2001-11-23,1.5468144556089696,0.0
2001-11-30,1.9028057766985969,0.0
2001-12-07,1.9373290483409629,0.0
2001-12-14,1.369445328537527,0.0
2001-12-21,0.918351764227154,1.0
2001-12-28,0.5586179153004576,2.0
2002-01-04,0.7425127039397725,1.0
2002-01-11,0.9198693073539647,0.0
2002-01-18,1.036401821853351,0.0
2002-01-25,1.0156556306507891,1.0
2002-02-01,0.7412384318133085,1.0
2002-02-08,0.3084923193148648,2.0
2002-02-15,0.6466718393156673,2.0
2002-02-22,0.6523718586733038,1.0
2002-03-01,0.7548740923731643,1.0
2002-03-08,0.7777612082133849,1.0
2002-03-15,0.041714025663170236,0.0
2002-03-22,-0.053481697166983554,1.0
2002-03-29,-0.28457866130060044,1.0
2002-04-05,0.06795763101861922,1.0
2002-04-12,0.404705392228025,1.0
2002-04-19,0.5718885048637595,1.0
2002-04-26,0.5119887613181752,1.0
2002-05-03,0.18458359057997017,1.0
2002-05-10,-0.32049834478376055,1.0
2002-05-17,-0.4470170651477107,1.0
2002-05-24,-0.34486389274025225,1.0
2002-05-31,-0.2745847868594167,0.0
2002-06-07,-0.21103344015831885,1.0
2002-06-14,-0.25906759114729855,1.0
2002-06-21,-0.28327847437247505,1.0
2002-06-28,-0.25501316389148654,1.0
2002-07-05,-0.5769982413049046,1.0
2002-07-12,-0.5411830413993108,2.0
2002-07-19,-0.7835273824206738,1.0
2002-07-26,-0.6264975080228924,1.0
2002-08-02,-0.5046717954968212,1.0
2002-08-09,-0.4666916788618584,1.0
2002-08-16,-0.3770104647230609,1.0
2002-08-23,-0.576201934690505,1.0
2002-08-30,-0.6209957769865595,2.0
2002-09-06,-0.5633786831480825,1.0
2002-09-13,-0.558337694669786,1.0
2002-09-20,-0.4820290826406087,1.0
2002-09-27,-0.4559385116891122,1.0
2002-10-04,-0.7055858431495008,1.0
2002-10-11,-0.8967521011319576,1.0
2002-10-18,-0.9895228859162809,2.0
2002-10-25,-0.6192031828921427,2.0
2002-11-01,-0.4228869406327437,1.0
2002-11-08,-0.2335956100985214,1.0
2002-11-15,-0.10098351963526118,1.0
2002-11-22,-0.05570698113933354,1.0
2002-11-29,-0.10667414907181963,1.0
2002-12-06,-0.17696406553293867,1.0
2002-12-13,-0.1916199436988179,1.0
2002-12-20,-0.22011152319002797,1.0
2002-12-27,-0.02562541722458085,1.0
2003-01-03,0.1568882315099148,1.0
2003-01-10,0.3572919753645493,1.0
2003-01-17,0.3315736261866522,1.0
2003-01-24,0.2274547813749964,1.0
2003-01-31,0.06819762927355434,1.0
2003-02-07,-0.18052188384615706,1.0
2003-02-14,-0.18987260873571568,2.0
2003-02-21,-0.22152435576913565,1.0
2003-02-28,-0.14976063128339337,1.0
2003-03-07,-0.26933268083269885,1.0
2003-03-14,-0.254356432548243,1.0
2003-03-21,0.8066049233047755,1.0
2003-03-28,1.537402391727303,1.0
2003-04-04,1.847494424613868,1.0
2003-04-11,1.8947030323743828,1.0
2003-04-18,1.2768624013233894,1.0
2003-04-25,0.7290099533163862,1.0
2003-05-02,0.17862754305388445,1.0
2003-05-09,-0.08909048631850303,1.0
2003-05-16,0.002255474417148888,1.0
2003-05-23,-0.06139168770998837,1.0
2003-05-30,-0.20871303261259688,1.0
2003-06-06,-0.02967106774238518,1.0
2003-06-13,-0.21995430649533396,0.0
2003-06-20,-0.3054214593728449,1.0
2003-06-27,-0.21477800690908605,1.0
2003-07-04,-0.2219436622685922,1.0
2003-07-11,-0.21535590960945208,1.0
2003-07-18,-0.33952358599269417,0.0
2003-07-25,-0.3441220062770242,1.0
2003-08-01,-0.5254976759375717,1.0
2003-08-08,-0.19308449893479193,1.0
2003-08-15,-0.13848407233177074,1.0
2003-08-22,-0.2621629307015128,1.0
2003-08-29,-0.22349629472140223,1.0
2003-09-05,-0.2846526259748351,1.0
2003-09-12,-0.28495969446155067,0.0
2003-09-19,-0.26460350818604783,0.0
2003-09-26,-0.21016258607725502,1.0
2003-10-03,-0.4352549230763521,1.0
2003-10-10,-0.3614313384999258,1.0
