Date,return
2000-02-04,-0.35682905196805814
2000-02-11,-0.5161740065077902
2000-02-18,-0.026682550916545835
2000-02-25,0.12269274011347739
2000-03-03,0.15046877776002415
2000-03-10,0.9864450812600242
2000-03-17,1.1511022466591536
2000-03-24,1.3023014630232577
2000-03-31,1.313707347108886
2000-04-07,0.5539253363627805
2000-04-14,0.7074928576569927
2000-04-21,0.5929324788756268
2000-04-28,0.6486260032702524
2000-05-05,0.7325215812790783
2000-05-12,0.6473811258974603
2000-05-19,0.22538874187672356
2000-05-26,0.43716264065052995
2000-06-02,0.32397780561895906
2000-06-09,0.2572936659871226
2000-06-16,0.46140976481205365
2000-06-23,0.9183997562409794
2000-06-30,0.8691212666521835
2000-07-07,0.9455940594485204
2000-07-14,0.6420911338139588
2000-07-21,0.12210263696773707
2000-07-28,0.11521942199956085
2000-08-04,-0.06887547689198545
2000-08-11,0.13401440555803956
2000-08-18,0.25410554936504365
2000-08-25,0.5282091348270275
2000-09-01,0.6144127065824228
2000-09-08,0.5380295642647074
2000-09-15,0.6862884390514825
2000-09-22,0.6480237128523363
2000-09-29,0.855753162099922
2000-10-06,0.9014790625354843
2000-10-13,0.8679868445840612
2000-10-20,1.1264611381234242
2000-10-27,0.9316974877445611
2000-11-03,0.7881251805034637
2000-11-10,0.368593678091308
2000-11-17,-0.2289063089968347
2000-11-24,-0.2679894065311928
2000-12-01,-0.27264901852120177
2000-12-08,0.33861503250058844
2000-12-15,0.6917007535740218
2000-12-22,1.2684475948104863
2000-12-29,1.5161393359645647
2001-01-05,1.3040786405504154
2001-01-12,1.0919571234765357
2001-01-19,0.769456088415207
2001-01-26,0.31629623623727676
2001-02-02,0.38960028604731783
2001-02-09,0.6229831569952895
2001-02-16,0.5427006395085779
2001-02-23,0.2897176986501834
2001-03-02,0.13140238080839836
2001-03-09,-0.2028131751003029
2001-03-16,-0.10093139879294645
2001-03-23,0.003104179843109734
2001-03-30,0.14600100170566704
2001-04-06,0.2304542438559658
2001-04-13,0.17149386624118845
2001-04-20,0.02850024931696658
2001-04-27,-0.01595670492343542
2001-05-04,-0.16161239711792258
2001-05-11,-0.2854396542510136
2001-05-18,-0.6151270700652098
2001-05-25,-0.6292392944804803
2001-06-01,-0.6748726973712875
2001-06-08,-0.698236654467303
2001-06-15,-0.46162451989811637
2001-06-22,-0.04069773679941833
2001-06-29,0.13282212792018622
2001-07-06,0.27641024992520313
2001-07-13,0.30301334354253356
2001-07-20,-0.0647724764413382
2001-07-27,-0.2629678219982808
2001-08-03,-0.42508855352674596
2001-08-10,-0.4701714568887109
2001-08-17,-0.5174888301762065
2001-08-24,-0.4545156966545968
2001-08-31,-0.4581309879745435
2001-09-07,-0.6685924111814159
2001-09-14,-0.08341061394546433
2001-09-21,0.42184857065506265
2001-09-28,1.9421737887505364
2001-10-05,2.054660864201007
2001-10-12,1.8990153878913845
2001-10-19,1.6561917901890637
2001-10-26,0.043337136169412524
2001-11-02,-0.14704446472491153
2001-11-09,-0.0023325280776434446
2001-11-16,1.0241711810734655
2001-11-23,1.5628085585568756
2001-11-30,1.920219064598172
2001-12-07,1.9548799657407385
2001-12-14,1.3847323367302573
2001-12-21,0.9318404555499545
2001-12-28,0.5706725018157583
2002-01-04,0.7553004002284478
2002-01-11,0.933364048471357
2002-01-18,1.050361128203546
2002-01-25,1.029532230820763
2002-02-01,0.7540210481246947
2002-02-08,0.31954976218979947
2002-02-15,0.6590774591188451
2002-02-22,0.6648002020127517
2002-03-01,0.7677110682240286
2002-03-08,0.7906894251941963
2002-03-15,0.0517079377232984
2002-03-22,-0.0438672896882882
2002-03-29,-0.27588553845567376
2002-04-05,0.07805616509504824
2002-04-12,0.41614639542351545
2002-04-19,0.5839959955368088
2002-04-26,0.5238574573644663
2002-05-03,0.19514706241464802
2002-05-10,-0.3119484183350606
2002-05-17,-0.4389715146582206
2002-05-24,-0.3364111012972406
2002-05-31,-0.2658518227167516
2002-06-07,-0.20204712401083397
2002-06-14,-0.25027276659022973
2002-06-21,-0.27458016823904263
2002-06-28,-0.24620217606916878
2002-07-05,-0.5694708701031509
2002-07-12,-0.5335128903326114
2002-07-19,-0.7768233544629506
2002-07-26,-0.6191674692005625
2002-08-02,-0.4968560897278528
2002-08-09,-0.4587245626320226
2002-08-16,-0.3686858278964767
2002-08-23,-0.5686713889552806
2002-08-30,-0.613643805118584
2002-09-06,-0.5557970166002362
2002-09-13,-0.5507359318595699
2002-09-20,-0.47412311007173025
2002-09-27,-0.4479285271865679
2002-10-04,-0.6985710956514669
2002-10-11,-0.8904994516417213
2002-10-18,-0.9836400738179154
2002-10-25,-0.611844064719152
2002-11-01,-0.41474519367001167
2002-11-08,-0.22469923966083116
2002-11-15,-0.09155848158112793
2002-11-22,-0.04610144491490664
2002-11-29,-0.09727179712036205
2002-12-06,-0.16784192937828865
2002-12-13,-0.18255623425435524
2002-12-20,-0.21116139747209955
2002-12-27,-0.01589995868659916
2003-01-03,0.16734129380791352
2003-01-10,0.36854396157076624
2003-01-17,0.3427230843480186
2003-01-24,0.23818916228872206
2003-01-31,0.07829712012025176
2003-02-07,-0.17141393118956377
2003-02-14,-0.1808019334150132
2003-02-21,-0.2125798624096854
2003-02-28,-0.14053004668566754
2003-03-07,-0.26057877879240504
2003-03-14,-0.24554282661929067
2003-03-21,0.8196481278259647
2003-03-28,1.5533589728070238
2003-04-04,1.8646872098385612
2003-04-11,1.9120840181021608
2003-04-18,1.2917803210319354
2003-04-25,0.7417438199205844
2003-05-02,0.18916727067762318
