,return,S&P500_return,sentiment
1986-01-31,1.1293746753037954,1.055402132068015,0.0
1986-02-07,1.9486816948692363,0.44714388781179526,0.0
1986-02-14,2.3342403012236153,0.9774088536023445,0.0
1986-02-21,2.3132889267394576,0.9723056790810282,0.0
1986-02-28,2.380678794459811,0.035138377985570034,1.0
1986-03-07,2.3641196056434413,0.15518405567059207,1.0
1986-03-14,2.482917721967546,1.3036164078997101,0.0
1986-03-21,2.7026374106749342,-1.292567018082851,0.0
1986-03-28,3.2499215323118555,0.625612193536174,0.0
1986-04-04,3.446141309748076,-1.5503664881541945,2.0
1986-04-11,3.8281949046827948,-0.21131136197018613,0.0
1986-04-18,3.6787206092566045,-0.2753006008308588,1.0
1986-04-25,3.1558846231775255,0.07731856434504616,0.0
1986-05-02,2.6376397624071477,-0.17271984993886486,1.0
1986-05-09,1.5852350401555042,0.25550945783570045,1.0
1986-05-16,1.0680747229370051,-0.690945315302957,0.0
1986-05-23,1.0170511066300478,0.4486605491845989,0.0
1986-05-30,1.548710971875306,-0.26280560875082104,2.0
1986-06-06,1.4025213428727912,-0.018760987991969007,0.0
1986-06-13,1.570322744581491,1.5917340278168195,0.0
1986-06-20,1.4482393136339458,1.304885386600207,0.0
1986-06-27,0.7394240429879244,0.2945312016333612,1.0
1986-07-04,0.7188245807795367,-0.36171049724183235,2.0
1986-07-11,0.6096637098704563,-0.3290374069876303,2.0
1986-07-18,0.6627918478818844,0.08779782541658719,2.0
1986-07-25,1.9288817612298284,0.8563277804616423,0.0
1986-08-01,2.172298667442487,-0.5039483514831542,2.0
1986-08-08,3.3463848526294844,-0.08909774807293441,0.0
1986-08-15,3.25248997888573,0.31281448640856413,0.0
1986-08-22,2.2930560078622206,0.16709003376564568,2.0
1986-08-29,1.9644011034657651,0.006752806038873038,0.0
1986-09-05,-0.1465264227253204,-1.265133713184578,0.0
1986-09-12,-0.16057576761580358,-1.826398591276864,0.0
1986-09-19,0.024053687952210304,-0.06635333740281996,0.0
1986-09-26,0.19288659780121167,0.13392869004454316,1.0
1986-10-03,0.29159174074207656,-0.10982306734482793,0.0
1986-10-10,0.36650404222381355,-0.17229123890103315,0.0
1986-10-17,0.2098152451278738,-0.29451476832764856,2.0
1986-10-24,0.0773374567954779,-0.4234661517105216,1.0
1986-10-31,0.3038101364795448,0.07660020530753635,2.0
1986-11-07,0.5650914501950282,-0.06414561977485486,0.0
1986-11-14,0.4195716313587906,0.5381048023583683,0.0
1986-11-21,0.33514078691392146,1.4255768672746492,1.0
1986-11-28,-0.004790130206619193,0.1416785757752796,1.0
1986-12-05,-0.895219841816698,-0.7158978680481477,0.0
1986-12-12,-0.8927079100173725,-0.3340074960108571,0.0
1986-12-19,-0.5561040890799476,1.0783679127802839,0.0
1986-12-26,-0.45544832059624873,0.03769435356973722,0.0
1987-01-02,-0.3874210789220741,1.6023228033936192,0.0
1987-01-09,-0.3629789354028795,0.4961372043219162,0.0
1987-01-16,-0.506396834389356,0.2498878953109657,2.0
1987-01-23,-0.7359060546441694,-1.3285086625638685,2.0
1987-01-30,-0.9376194375682789,-0.08058629669923058,0.0
1987-02-06,-0.9928591375656612,-0.3973912823578834,1.0
1987-02-13,-0.9994985689784295,1.3397351497346197,2.0
1987-02-20,-0.991329459703666,-0.05563303653075331,1.0
1987-02-27,-0.5458362622070646,0.38017710603002036,0.0
1987-03-06,-0.07952391976656231,0.018461667765352935,2.0
1987-03-13,0.0037787311479814717,-0.45186578990303056,1.0
1987-03-20,-0.017250973167166807,1.2576933086789943,0.0
1987-03-27,-0.2574308113395073,-1.521109502161486,0.0
1987-04-03,-0.795534501570931,2.095828619682778,1.0
1987-04-10,-1.1508596425108029,-0.14385489944209473,0.0
1987-04-17,-1.0721299098893031,0.7774594899429215,1.0
1987-04-24,-1.0525251369221635,-1.760243043812929,1.0
1987-05-01,-1.0412029917892094,-0.1327761024089509,1.0
1987-05-08,-1.0316467243379597,-0.4499870200999946,2.0
1987-05-15,-1.1203667517691556,-2.2032158903893944,2.0
1987-05-22,-1.1604789856456696,0.631639925127246,1.0
1987-05-29,-1.069361890442095,-0.2375926148985689,1.0
1987-06-05,-1.0603863983219022,-0.5444269225026475,2.0
1987-06-12,-1.0937018182114233,0.8687029859008837,1.0
1987-06-19,-1.1342463309309572,0.3621196152448191,0.0
1987-06-26,-1.0889979087318598,-0.5695198957367423,0.0
1987-07-03,-1.0608651753283567,0.795514507855516,2.0
1987-07-10,-0.9801082984324205,0.2302734971235872,2.0
1987-07-17,-0.8680662112393989,0.5338602218822905,0.0
1987-07-24,-0.7956569453636949,0.4135698837528512,2.0
1987-07-31,-0.5054316917137878,0.15180208698696293,2.0
1987-08-07,-0.3216268982794276,0.23595083310089973,0.0
1987-08-14,-0.31503243232447564,-0.20985789896709287,0.0
1987-08-21,-0.290915022245143,0.2674990016294608,0.0
1987-08-28,-0.5265940216303948,-1.2519005610744383,2.0
1987-09-04,-0.7382228923474714,-1.0509825943570252,0.0
1987-09-11,-0.751002930806115,1.3846470361702452,0.0
1987-09-18,-0.8675847691497296,-0.04699886470615298,0.0
1987-09-25,-0.8301885199979896,0.10151922322873541,2.0
1987-10-02,-0.8773094263325697,0.18360295553353356,0.0
1987-10-09,-0.8702434696525362,-0.9452284273133201,0.0
1987-10-16,-0.9283317818459996,-4.9511561329568305,1.0
1987-10-23,-0.8643564926451883,-0.03756567761420754,1.0
1987-10-30,-0.8665926322329428,2.60235619857612,0.0
1987-11-06,-0.9010061045953128,-1.5251580758189753,1.0
