date,return,sentiment
1986-01-31,1.1293746753037954,0.0
1986-02-07,1.9486816948692363,0.0
1986-02-14,2.3342403012236153,0.0
1986-02-21,2.3132889267394576,0.0
1986-02-28,2.380678794459811,1.0
1986-03-07,2.3641196056434413,1.0
1986-03-14,2.482917721967546,0.0
1986-03-21,2.7026374106749342,0.0
1986-03-28,3.2499215323118555,0.0
1986-04-04,3.446141309748076,2.0
1986-04-11,3.8281949046827948,0.0
1986-04-18,3.6787206092566045,1.0
1986-04-25,3.1558846231775255,0.0
1986-05-02,2.6376397624071477,1.0
1986-05-09,1.5852350401555042,1.0
1986-05-16,1.0680747229370051,0.0
1986-05-23,1.0170511066300478,0.0
1986-05-30,1.548710971875306,2.0
1986-06-06,1.4025213428727912,0.0
1986-06-13,1.570322744581491,0.0
1986-06-20,1.4482393136339458,0.0
1986-06-27,0.7394240429879244,1.0
1986-07-04,0.7188245807795367,2.0
1986-07-11,0.6096637098704563,2.0
1986-07-18,0.6627918478818844,2.0
1986-07-25,1.9288817612298284,0.0
1986-08-01,2.172298667442487,2.0
1986-08-08,3.3463848526294844,0.0
1986-08-15,3.25248997888573,0.0
1986-08-22,2.2930560078622206,2.0
1986-08-29,1.9644011034657651,0.0
1986-09-05,-0.1465264227253204,0.0
1986-09-12,-0.16057576761580358,0.0
1986-09-19,0.024053687952210304,0.0
1986-09-26,0.19288659780121167,1.0
1986-10-03,0.29159174074207656,0.0
1986-10-10,0.36650404222381355,0.0
1986-10-17,0.2098152451278738,2.0
1986-10-24,0.0773374567954779,1.0
1986-10-31,0.3038101364795448,2.0
1986-11-07,0.5650914501950282,0.0
1986-11-14,0.4195716313587906,0.0
1986-11-21,0.33514078691392146,1.0
1986-11-28,-0.004790130206619193,1.0
1986-12-05,-0.895219841816698,0.0
1986-12-12,-0.8927079100173725,0.0
1986-12-19,-0.5561040890799476,0.0
1986-12-26,-0.45544832059624873,0.0
1987-01-02,-0.3874210789220741,0.0
1987-01-09,-0.3629789354028795,0.0
1987-01-16,-0.506396834389356,2.0
1987-01-23,-0.7359060546441694,2.0
1987-01-30,-0.9376194375682789,0.0
1987-02-06,-0.9928591375656612,1.0
1987-02-13,-0.9994985689784295,2.0
1987-02-20,-0.991329459703666,1.0
1987-02-27,-0.5458362622070646,0.0
1987-03-06,-0.07952391976656231,2.0
1987-03-13,0.0037787311479814717,1.0
1987-03-20,-0.017250973167166807,0.0
1987-03-27,-0.2574308113395073,0.0
1987-04-03,-0.795534501570931,1.0
1987-04-10,-1.1508596425108029,0.0
1987-04-17,-1.0721299098893031,1.0
1987-04-24,-1.0525251369221635,1.0
1987-05-01,-1.0412029917892094,1.0
1987-05-08,-1.0316467243379597,2.0
1987-05-15,-1.1203667517691556,2.0
1987-05-22,-1.1604789856456696,1.0
1987-05-29,-1.069361890442095,1.0
1987-06-05,-1.0603863983219022,2.0
1987-06-12,-1.0937018182114233,1.0
1987-06-19,-1.1342463309309572,0.0
1987-06-26,-1.0889979087318598,0.0
1987-07-03,-1.0608651753283567,2.0
1987-07-10,-0.9801082984324205,2.0
1987-07-17,-0.8680662112393989,0.0
1987-07-24,-0.7956569453636949,2.0
1987-07-31,-0.5054316917137878,2.0
1987-08-07,-0.3216268982794276,0.0
1987-08-14,-0.31503243232447564,0.0
1987-08-21,-0.290915022245143,0.0
1987-08-28,-0.5265940216303948,2.0
1987-09-04,-0.7382228923474714,0.0
1987-09-11,-0.751002930806115,0.0
1987-09-18,-0.8675847691497296,0.0
1987-09-25,-0.8301885199979896,2.0
1987-10-02,-0.8773094263325697,0.0
1987-10-09,-0.8702434696525362,0.0
1987-10-16,-0.9283317818459996,1.0
1987-10-23,-0.8643564926451883,1.0
1987-10-30,-0.8665926322329428,0.0
1987-11-06,-0.9010061045953128,1.0
1987-11-13,-0.8726944105171066,2.0
1987-11-20,-0.9052956891010857,2.0
1987-11-27,-0.678825161549197,0.0
1987-12-04,-0.6824193446468407,0.0
1987-12-11,-0.6116049960627735,0.0
1987-12-18,-0.10166086386612504,0.0
1987-12-25,0.46743905702443833,1.0
1988-01-01,0.6237850754918914,1.0
1988-01-08,0.8269840800815281,0.0
1988-01-15,0.7826508217359575,2.0
1988-01-22,0.30876847125476725,2.0
1988-01-29,-0.11555990696691637,1.0
1988-02-05,-0.5108758930670874,0.0
1988-02-12,-0.7252992481043055,1.0
1988-02-19,-0.8271887396341315,0.0
1988-02-26,-0.7365660257813703,0.0
1988-03-04,-0.5023318088472168,1.0
1988-03-11,-0.42963220506495364,0.0
1988-03-18,-0.19364871243154005,0.0
1988-03-25,-0.10833547960827197,0.0
1988-04-01,-0.20867147488832455,1.0
1988-04-08,-0.3216941026937508,0.0
1988-04-15,-0.214248132830844,1.0
1988-04-22,-0.29819960894838665,0.0
1988-04-29,-0.33901198748382677,0.0
1988-05-06,-0.02105387310889026,1.0
1988-05-13,-0.3565418260535118,1.0
1988-05-20,-0.46883639021547674,1.0
1988-05-27,-0.49032231006233457,1.0
1988-06-03,-1.003322508163891,1.0
1988-06-10,-0.9625528781906837,2.0
1988-06-17,-0.7548338987060544,2.0
1988-06-24,-0.7063306901982797,0.0
1988-07-01,-0.5433412612578497,0.0
1988-07-08,-0.34636983754648254,0.0
1988-07-15,-0.018669402994317,2.0
1988-07-22,0.46548075114048637,2.0
1988-07-29,0.506520547005641,0.0
1988-08-05,0.4790930962408977,2.0
1988-08-12,0.26866755400829145,1.0
1988-08-19,-0.39653655677472055,2.0
1988-08-26,-0.5755336887634172,2.0
1988-09-02,-0.767886990988525,0.0
