date,return
1986-01-31,1.1377208270507817
1986-02-07,1.959385806572273
1986-02-14,2.3460540479386602
1986-02-21,2.325042375543124
1986-02-28,2.3926261908383584
1986-03-07,2.376019344790693
1986-03-14,2.4951593612748804
1986-03-21,2.715511401732169
1986-03-28,3.2643706032995503
1986-04-04,3.461155099902982
1986-04-11,3.8443082424509987
1986-04-18,3.6944037610326745
1986-04-25,3.1700630565887873
1986-05-02,2.6503266906805996
1986-05-09,1.5948931548909693
1986-05-16,1.0762444538435287
1986-05-23,1.0250739919204694
1986-05-30,1.5582639705939667
1986-06-06,1.4116536088466491
1986-06-13,1.5799379418330621
1986-06-20,1.4575031556125888
1986-06-27,0.7466479195024526
1986-07-04,0.7259891721837906
1986-07-11,0.6165141370405164
1986-07-18,0.6697951774670086
1986-07-25,1.939528888860302
1986-08-01,2.1836463472515315
1986-08-08,3.361111544388275
1986-08-15,3.2669464418449636
1986-08-22,2.3047512264647936
1986-08-29,1.975150455518412
1986-09-05,-0.14185230554558215
1986-09-12,-0.155942084353839
1986-09-19,0.02921873351492467
1986-09-26,0.1985375433149585
1986-10-03,0.2975267589769801
1986-10-10,0.372654657546123
1986-10-17,0.2155149111719629
1986-10-24,0.08265585267771779
1986-10-31,0.3097803191731776
1986-11-07,0.5718135987089125
1986-11-14,0.4258749748369149
1986-11-21,0.3412011390035891
1986-11-28,0.0002919030462114025
1986-12-05,-0.8927004591374798
1986-12-12,-0.8901812980157466
1986-12-19,-0.5526087336013711
1986-12-26,-0.451663278509646
1987-01-02,-0.3834402549027432
1987-01-09,-0.3589277670629435
1987-01-16,-0.5027584217743378
1987-01-23,-0.7329281679833805
1987-01-30,-0.9352220806334366
1987-02-06,-0.9906207601067266
1987-02-13,-0.9972792997573452
1987-02-20,-0.9890866798423864
1987-02-27,-0.5423113559935088
1987-03-06,-0.07465696984505689
1987-03-13,0.00888542552473825
1987-03-20,-0.012204802134502696
1987-03-27,-0.25307587622590244
1987-04-03,-0.7927282251694675
1987-04-10,-1.149075989416239
1987-04-17,-1.070119673166821
1987-04-24,-1.0504584777981885
1987-05-01,-1.0391037476095684
1987-05-08,-1.029519977286451
1987-05-15,-1.1184953403451792
1987-05-22,-1.158723016954356
1987-05-29,-1.0673436873787197
1987-06-05,-1.0583423638540597
1987-06-12,-1.0917536652924293
1987-06-19,-1.1324148648401573
1987-06-26,-1.0870362179938007
1987-07-03,-1.0588225187774392
1987-07-10,-0.977833224146333
1987-07-17,-0.8654686805985086
1987-07-24,-0.7928510213546232
1987-07-31,-0.5017905014248005
1987-08-07,-0.3174567190616281
1987-08-14,-0.31084327427910363
1987-08-21,-0.2866564544597679
1987-08-28,-0.5230137363810673
1987-09-04,-0.7352516735296261
1987-09-11,-0.74806849285088
1987-09-18,-0.864985852921823
1987-09-25,-0.8274819776227407
1987-10-02,-0.8747384976010177
1987-10-09,-0.8676522051463542
1987-10-16,-0.9259076951019946
1987-10-23,-0.8617482854597494
1987-10-30,-0.8639908606418271
1987-11-06,-0.8985033747404952
1987-11-13,-0.8701101998018422
1987-11-20,-0.9028053046409141
1987-11-27,-0.675682996471454
1987-12-04,-0.6792875236032835
1987-12-11,-0.6082693718120087
1987-12-18,-0.09685762391718128
1987-12-25,0.4738801626237497
1988-01-01,0.6306761438548927
1988-01-08,0.8344599537793912
1988-01-15,0.789999104621825
1988-01-22,0.3147529240017128
1988-01-29,-0.11079666836823135
1988-02-05,-0.5072503711520763
1988-02-12,-0.7222908351273917
1988-02-19,-0.8244735639116685
1988-02-26,-0.7335900385129661
1988-03-04,-0.4986816971167025
1988-03-11,-0.4257728643757637
1988-03-18,-0.18911021287683277
1988-03-25,-0.10355144915743596
1988-04-01,-0.20417621074043843
1988-04-08,-0.31752411688979265
1988-04-15,-0.2097689182660849
1988-04-22,-0.2939620061533417
1988-04-29,-0.3348918424329481
1988-05-06,-0.01601864679605072
1988-05-13,-0.35247213175722975
1988-05-20,-0.46508987890097414
1988-05-27,-0.4866376350770809
1988-06-03,-1.00111424421343
1988-06-10,-0.9602272795261236
1988-06-17,-0.7519104862500342
1988-06-24,-0.7032676858424343
1988-07-01,-0.5398091744487562
1988-07-08,-0.3422708683373775
1988-07-15,-0.01362731419292031
1988-07-22,0.47191622074895945
1988-07-29,0.5130741288637879
1988-08-05,0.48556774208476017
1988-08-12,0.27453659659175733
1988-08-19,-0.39258196703783016
1988-08-26,-0.5720942515388305
1988-09-02,-0.7650011452421382
1988-09-09,-0.8199416582274454
1988-09-16,-0.3677155802040763
1988-09-23,-0.002514570949241783
1988-09-30,0.29970475739885105
1988-10-07,0.39092630102252895
1988-10-14,0.40426392170544284
1988-10-21,0.539849633884864
1988-10-28,1.0662599638633166
1988-11-04,0.9612403525569235
1988-11-11,0.7813472593819489
1988-11-18,0.49131959655762053
1988-11-25,0.11803051436595205
1988-12-02,0.7530727289679332
1988-12-09,0.7803170702337988
1988-12-16,0.789668752025905
1988-12-23,0.7814660051247887
1988-12-30,0.40099639241109974
1989-01-06,0.42201013847559543
1989-01-13,0.37476302244552084
1989-01-20,0.05645601805585758
1989-01-27,-0.05654859854088597
1989-02-03,-0.024141963679597287
1989-02-10,-0.052929271958121964
1989-02-17,0.012059638119344516
1989-02-24,-0.4363516085120996
1989-03-03,-0.6166111423481089
1989-03-10,-0.5297226963495776
1989-03-17,-0.5257862653638322
1989-03-24,-0.27751702037649556
1989-03-31,-0.12274581203839538
1989-04-07,0.07498241937582387
1989-04-14,0.06688201829198279
1989-04-21,0.28318297510510504
1989-04-28,1.4736647907233196
